,Algorithm,Instance,Total Cost,Running Time,Type,Small-ratio,Medium-ratio,Large-ratio,Number of Customers,Number of Clusters,Region
288,AVNS,SBY_nc_15_ncl_1_nv_30_generated_r_0.20_0.60_0.20_0,2.0,5.0,Generated,0.2,0.6,0.2,15,1,SBY
289,AVNS,SBY_nc_15_ncl_1_nv_30_generated_r_0.20_0.60_0.20_1,2.0,6.0,Generated,0.2,0.6,0.2,15,1,SBY
290,AVNS,SBY_nc_15_ncl_1_nv_30_generated_r_0.20_0.60_0.20_2,2.0,5.0,Generated,0.2,0.6,0.2,15,1,SBY
291,AVNS,SBY_nc_15_ncl_1_nv_30_generated_r_0.33_0.33_0.33_0,2.0,3.0,Generated,0.33,0.33,0.33,15,1,SBY
292,AVNS,SBY_nc_15_ncl_1_nv_30_generated_r_0.33_0.33_0.33_1,2.0,4.0,Generated,0.33,0.33,0.33,15,1,SBY
293,AVNS,SBY_nc_15_ncl_1_nv_30_generated_r_0.33_0.33_0.33_2,1.0,9.0,Generated,0.33,0.33,0.33,15,1,SBY
294,AVNS,SBY_nc_15_ncl_1_nv_30_generated_r_0.60_0.20_0.20_0,1.0,9.0,Generated,0.6,0.2,0.2,15,1,SBY
295,AVNS,SBY_nc_15_ncl_1_nv_30_generated_r_0.60_0.20_0.20_1,1.0,7.0,Generated,0.6,0.2,0.2,15,1,SBY
296,AVNS,SBY_nc_15_ncl_1_nv_30_generated_r_0.60_0.20_0.20_2,1.0,4.0,Generated,0.6,0.2,0.2,15,1,SBY
297,AVNS,SBY_nc_15_ncl_1_nv_30_historical_0,7.0,0.0,Historical,,,,15,1,SBY
298,AVNS,SBY_nc_15_ncl_1_nv_30_historical_1,6.0,0.0,Historical,,,,15,1,SBY
299,AVNS,SBY_nc_15_ncl_1_nv_30_historical_2,5.0,5.0,Historical,,,,15,1,SBY
300,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.20_0.20_0.60_0,2.0,5.0,Generated,0.2,0.2,0.6,15,3,SBY
301,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.20_0.20_0.60_1,1.0,6.0,Generated,0.2,0.2,0.6,15,3,SBY
302,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.20_0.20_0.60_2,2.0,0.0,Generated,0.2,0.2,0.6,15,3,SBY
303,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.20_0.60_0.20_0,2.0,3.0,Generated,0.2,0.6,0.2,15,3,SBY
304,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.20_0.60_0.20_1,2.0,6.0,Generated,0.2,0.6,0.2,15,3,SBY
305,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.20_0.60_0.20_2,2.0,3.0,Generated,0.2,0.6,0.2,15,3,SBY
306,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.33_0.33_0.33_0,1.0,7.0,Generated,0.33,0.33,0.33,15,3,SBY
307,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.33_0.33_0.33_1,2.0,8.0,Generated,0.33,0.33,0.33,15,3,SBY
308,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.33_0.33_0.33_2,2.0,1.0,Generated,0.33,0.33,0.33,15,3,SBY
309,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.60_0.20_0.20_0,1.0,6.0,Generated,0.6,0.2,0.2,15,3,SBY
310,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.60_0.20_0.20_1,1.0,7.0,Generated,0.6,0.2,0.2,15,3,SBY
311,AVNS,SBY_nc_15_ncl_3_nv_30_generated_r_0.60_0.20_0.20_2,1.0,5.0,Generated,0.6,0.2,0.2,15,3,SBY
312,AVNS,SBY_nc_15_ncl_3_nv_30_historical_0,4.0,2.0,Historical,,,,15,3,SBY
313,AVNS,SBY_nc_15_ncl_3_nv_30_historical_1,3.0,9.0,Historical,,,,15,3,SBY
314,AVNS,SBY_nc_15_ncl_3_nv_30_historical_2,5.0,0.0,Historical,,,,15,3,SBY
315,AVNS,SBY_nc_15_ncl_3_nv_30_historical_3,4.0,1.0,Historical,,,,15,3,SBY
316,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.20_0.20_0.60_0,2.0,0.0,Generated,0.2,0.2,0.6,15,5,SBY
317,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.20_0.20_0.60_1,2.0,2.0,Generated,0.2,0.2,0.6,15,5,SBY
318,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.20_0.20_0.60_2,2.0,0.0,Generated,0.2,0.2,0.6,15,5,SBY
319,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.20_0.60_0.20_0,2.0,6.0,Generated,0.2,0.6,0.2,15,5,SBY
320,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.20_0.60_0.20_1,2.0,7.0,Generated,0.2,0.6,0.2,15,5,SBY
321,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.20_0.60_0.20_2,2.0,8.0,Generated,0.2,0.6,0.2,15,5,SBY
322,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.33_0.33_0.33_0,2.0,3.0,Generated,0.33,0.33,0.33,15,5,SBY
323,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.33_0.33_0.33_1,2.0,3.0,Generated,0.33,0.33,0.33,15,5,SBY
324,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.33_0.33_0.33_2,2.0,0.0,Generated,0.33,0.33,0.33,15,5,SBY
325,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.60_0.20_0.20_0,1.0,9.0,Generated,0.6,0.2,0.2,15,5,SBY
326,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.60_0.20_0.20_1,1.0,9.0,Generated,0.6,0.2,0.2,15,5,SBY
327,AVNS,SBY_nc_15_ncl_5_nv_30_generated_r_0.60_0.20_0.20_2,1.0,7.0,Generated,0.6,0.2,0.2,15,5,SBY
328,AVNS,SBY_nc_15_ncl_5_nv_30_historical_0,6.0,3.0,Historical,,,,15,5,SBY
329,AVNS,SBY_nc_15_ncl_5_nv_30_historical_1,5.0,1.0,Historical,,,,15,5,SBY
330,AVNS,SBY_nc_15_ncl_5_nv_30_historical_2,6.0,1.0,Historical,,,,15,5,SBY
331,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.20_0.20_0.60_0,3.0,9.0,Generated,0.2,0.2,0.6,30,1,SBY
332,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.20_0.20_0.60_1,4.0,2.0,Generated,0.2,0.2,0.6,30,1,SBY
333,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.20_0.20_0.60_2,4.0,6.0,Generated,0.2,0.2,0.6,30,1,SBY
334,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.20_0.60_0.20_0,5.0,0.0,Generated,0.2,0.6,0.2,30,1,SBY
335,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.20_0.60_0.20_1,4.0,7.0,Generated,0.2,0.6,0.2,30,1,SBY
336,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.20_0.60_0.20_2,4.0,3.0,Generated,0.2,0.6,0.2,30,1,SBY
337,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.33_0.33_0.33_0,4.0,8.0,Generated,0.33,0.33,0.33,30,1,SBY
338,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.33_0.33_0.33_1,5.0,5.0,Generated,0.33,0.33,0.33,30,1,SBY
339,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.33_0.33_0.33_2,4.0,9.0,Generated,0.33,0.33,0.33,30,1,SBY
340,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.60_0.20_0.20_0,3.0,3.0,Generated,0.6,0.2,0.2,30,1,SBY
341,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.60_0.20_0.20_1,3.0,7.0,Generated,0.6,0.2,0.2,30,1,SBY
342,AVNS,SBY_nc_30_ncl_1_nv_60_generated_r_0.60_0.20_0.20_2,3.0,3.0,Generated,0.6,0.2,0.2,30,1,SBY
343,AVNS,SBY_nc_30_ncl_1_nv_60_historical_0,7.0,0.0,Historical,,,,30,1,SBY
344,AVNS,SBY_nc_30_ncl_1_nv_60_historical_1,7.0,7.0,Historical,,,,30,1,SBY
345,AVNS,SBY_nc_30_ncl_1_nv_60_historical_2,7.0,4.0,Historical,,,,30,1,SBY
346,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.20_0.20_0.60_0,3.0,6.0,Generated,0.2,0.2,0.6,30,3,SBY
347,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.20_0.20_0.60_1,4.0,6.0,Generated,0.2,0.2,0.6,30,3,SBY
348,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.20_0.20_0.60_2,3.0,6.0,Generated,0.2,0.2,0.6,30,3,SBY
349,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.20_0.60_0.20_0,5.0,9.0,Generated,0.2,0.6,0.2,30,3,SBY
350,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.20_0.60_0.20_1,4.0,7.0,Generated,0.2,0.6,0.2,30,3,SBY
351,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.20_0.60_0.20_2,5.0,1.0,Generated,0.2,0.6,0.2,30,3,SBY
352,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.33_0.33_0.33_0,4.0,2.0,Generated,0.33,0.33,0.33,30,3,SBY
353,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.33_0.33_0.33_1,4.0,2.0,Generated,0.33,0.33,0.33,30,3,SBY
354,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.33_0.33_0.33_2,5.0,0.0,Generated,0.33,0.33,0.33,30,3,SBY
355,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.60_0.20_0.20_0,3.0,1.0,Generated,0.6,0.2,0.2,30,3,SBY
