=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.135034E+08 |  1.002654E+08
     2 |      100 |  1.114988E+08 |  1.002654E+08
     3 |      150 |  1.093474E+08 |  9.343767E+07
     4 |      200 |  1.070688E+08 |  9.059279E+07
     5 |      250 |  1.052819E+08 |  9.059279E+07
     6 |      300 |  1.039295E+08 |  8.546782E+07
     7 |      350 |  1.024346E+08 |  8.546782E+07
     8 |      400 |  1.011849E+08 |  8.546782E+07
     9 |      450 |  1.000236E+08 |  8.546782E+07
    10 |      500 |  9.925538E+07 |  8.546782E+07
    11 |      550 |  9.833473E+07 |  8.546782E+07
    12 |      600 |  9.783557E+07 |  8.546782E+07
    13 |      650 |  9.675195E+07 |  8.546782E+07
    14 |      700 |  9.626013E+07 |  8.546782E+07
    15 |      750 |  9.571223E+07 |  8.546782E+07
    16 |      800 |  9.515594E+07 |  8.369996E+07
    17 |      850 |  9.458022E+07 |  8.369996E+07
    18 |      900 |  9.375185E+07 |  8.369996E+07
    19 |      950 |  9.342636E+07 |  8.369996E+07
    20 |     1000 |  9.291001E+07 |  8.311805E+07
    21 |     1050 |  9.235987E+07 |  7.709797E+07
    22 |     1100 |  9.170951E+07 |  7.709797E+07
    23 |     1150 |  9.137378E+07 |  7.709797E+07
    24 |     1200 |  9.113758E+07 |  7.709797E+07
    25 |     1250 |  9.059782E+07 |  7.709797E+07
    26 |     1300 |  9.010962E+07 |  7.343203E+07
    27 |     1350 |  8.962720E+07 |  7.343203E+07
    28 |     1400 |  8.941993E+07 |  7.343203E+07
    29 |     1450 |  8.903152E+07 |  7.343203E+07
    30 |     1500 |  8.867687E+07 |  7.343203E+07
    31 |     1550 |  8.769534E+07 |  7.343203E+07
    32 |     1600 |  8.746723E+07 |  7.343203E+07
    33 |     1650 |  8.720836E+07 |  7.343203E+07
    34 |     1700 |  8.715204E+07 |  7.343203E+07
    35 |     1750 |  8.691223E+07 |  7.343203E+07
    36 |     1800 |  8.650239E+07 |  7.343203E+07
    37 |     1850 |  8.609857E+07 |  7.343203E+07
    38 |     1900 |  8.548823E+07 |  7.343203E+07
    39 |     1950 |  8.518005E+07 |  7.343203E+07
    40 |     2000 |  8.511910E+07 |  7.343203E+07
    41 |     2050 |  8.495686E+07 |  7.343203E+07
    42 |     2100 |  8.448619E+07 |  7.052830E+07
    43 |     2150 |  8.438089E+07 |  7.052830E+07
    44 |     2200 |  8.425349E+07 |  7.052830E+07
    45 |     2250 |  8.390722E+07 |  7.052830E+07
    46 |     2300 |  8.376842E+07 |  7.052830E+07
    47 |     2350 |  8.356248E+07 |  7.052830E+07
    48 |     2400 |  8.333935E+07 |  7.052830E+07
    49 |     2450 |  8.285529E+07 |  7.052830E+07
    50 |     2500 |  8.278811E+07 |  7.052830E+07
    51 |     2550 |  8.259134E+07 |  7.052830E+07
    52 |     2600 |  8.256355E+07 |  7.052830E+07
    53 |     2650 |  8.221528E+07 |  7.052830E+07
    54 |     2700 |  8.213765E+07 |  6.819505E+07
    55 |     2750 |  8.177656E+07 |  6.819505E+07
    56 |     2800 |  8.158268E+07 |  6.819505E+07
    57 |     2850 |  8.139787E+07 |  6.819505E+07
    58 |     2900 |  8.129649E+07 |  6.819505E+07
    59 |     2950 |  8.122925E+07 |  6.819505E+07
    60 |     3000 |  8.122925E+07 |  6.819505E+07
    61 |     3050 |  8.100480E+07 |  6.682917E+07
    62 |     3100 |  8.100480E+07 |  6.682917E+07
    63 |     3150 |  8.095815E+07 |  6.682917E+07
    64 |     3200 |  8.091150E+07 |  6.682917E+07
