=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  4.100725E+07 |  3.625538E+07
     2 |       70 |  4.006370E+07 |  3.393047E+07
     3 |       90 |  3.948945E+07 |  3.393047E+07
     4 |      110 |  3.904558E+07 |  3.393047E+07
     5 |      130 |  3.897741E+07 |  3.393047E+07
     6 |      150 |  3.891315E+07 |  3.389089E+07
     7 |      170 |  3.775147E+07 |  3.389089E+07
     8 |      190 |  3.778055E+07 |  3.068276E+07
     9 |      210 |  3.754509E+07 |  3.068276E+07
    10 |      230 |  3.760787E+07 |  3.068276E+07
    11 |      250 |  3.763081E+07 |  3.068276E+07
    12 |      270 |  3.794318E+07 |  3.068276E+07
    13 |      290 |  3.773331E+07 |  3.068276E+07
    14 |      310 |  3.697980E+07 |  3.068276E+07
    15 |      330 |  3.709570E+07 |  3.068276E+07
    16 |      350 |  3.748197E+07 |  3.068276E+07
    17 |      370 |  3.702863E+07 |  3.068276E+07
    18 |      390 |  3.657127E+07 |  3.068276E+07
    19 |      410 |  3.717851E+07 |  3.068276E+07
    20 |      430 |  3.645303E+07 |  3.068276E+07
    21 |      450 |  3.685229E+07 |  3.068276E+07
    22 |      470 |  3.684924E+07 |  3.068276E+07
    23 |      490 |  3.606232E+07 |  3.068276E+07
    24 |      510 |  3.695954E+07 |  3.068276E+07
    25 |      530 |  3.677252E+07 |  3.068276E+07
    26 |      550 |  3.670973E+07 |  3.068276E+07
    27 |      570 |  3.679421E+07 |  3.068276E+07
    28 |      590 |  3.663372E+07 |  3.068276E+07
    29 |      610 |  3.662628E+07 |  3.068276E+07
    30 |      630 |  3.645186E+07 |  3.068276E+07
    31 |      650 |  3.677551E+07 |  3.068276E+07
    32 |      670 |  3.706047E+07 |  3.068276E+07
    33 |      690 |  3.606902E+07 |  3.068276E+07
    34 |      710 |  3.642808E+07 |  3.068276E+07
    35 |      730 |  3.652648E+07 |  3.068276E+07
    36 |      750 |  3.629608E+07 |  3.068276E+07
    37 |      770 |  3.614599E+07 |  3.068276E+07
    38 |      790 |  3.619606E+07 |  3.068276E+07
