=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.231922E+08 |  9.578725E+07
     2 |       70 |  1.170392E+08 |  9.212603E+07
     3 |       90 |  1.144081E+08 |  9.212603E+07
     4 |      110 |  1.133107E+08 |  9.212603E+07
     5 |      130 |  1.100645E+08 |  9.212603E+07
     6 |      150 |  1.086437E+08 |  9.212603E+07
     7 |      170 |  1.050043E+08 |  8.991147E+07
     8 |      190 |  1.040923E+08 |  8.766349E+07
     9 |      210 |  1.031438E+08 |  8.766349E+07
    10 |      230 |  1.023964E+08 |  8.766349E+07
    11 |      250 |  1.029051E+08 |  8.766349E+07
    12 |      270 |  1.011150E+08 |  8.766349E+07
    13 |      290 |  1.015430E+08 |  8.766349E+07
    14 |      310 |  1.002099E+08 |  8.766349E+07
    15 |      330 |  1.007428E+08 |  8.766349E+07
    16 |      350 |  1.006607E+08 |  8.580927E+07
    17 |      370 |  9.922585E+07 |  8.580927E+07
    18 |      390 |  9.959005E+07 |  8.580927E+07
    19 |      410 |  9.839182E+07 |  8.529344E+07
    20 |      430 |  9.808722E+07 |  8.529344E+07
    21 |      450 |  9.832434E+07 |  8.529344E+07
    22 |      470 |  9.889948E+07 |  8.529344E+07
    23 |      490 |  9.872100E+07 |  8.529344E+07
    24 |      510 |  9.799678E+07 |  8.436730E+07
    25 |      530 |  9.705900E+07 |  8.436730E+07
    26 |      550 |  9.663691E+07 |  8.336075E+07
    27 |      570 |  9.669910E+07 |  8.336075E+07
    28 |      590 |  9.648520E+07 |  8.063608E+07
    29 |      610 |  9.523595E+07 |  8.063608E+07
    30 |      630 |  9.521778E+07 |  8.063608E+07
    31 |      650 |  9.500322E+07 |  8.063608E+07
    32 |      670 |  9.538641E+07 |  8.063608E+07
    33 |      690 |  9.580555E+07 |  8.063608E+07
    34 |      710 |  9.511595E+07 |  8.063608E+07
    35 |      730 |  9.565435E+07 |  8.063608E+07
    36 |      750 |  9.511291E+07 |  8.063608E+07
    37 |      770 |  9.607673E+07 |  8.001196E+07
    38 |      790 |  9.438344E+07 |  8.001196E+07
    39 |      810 |  9.403273E+07 |  8.001196E+07
    40 |      830 |  9.435026E+07 |  8.001196E+07
    41 |      850 |  9.578789E+07 |  8.001196E+07
    42 |      870 |  9.460782E+07 |  8.001196E+07
    43 |      890 |  9.559613E+07 |  8.001196E+07
    44 |      910 |  9.414996E+07 |  8.001196E+07
    45 |      930 |  9.636173E+07 |  8.001196E+07
    46 |      950 |  9.529959E+07 |  8.001196E+07
    47 |      970 |  9.445826E+07 |  8.001196E+07
    48 |      990 |  9.566030E+07 |  8.001196E+07
    49 |     1010 |  9.292535E+07 |  8.001196E+07
    50 |     1030 |  9.442217E+07 |  8.001196E+07
    51 |     1050 |  9.536717E+07 |  8.001196E+07
    52 |     1070 |  9.401609E+07 |  8.001196E+07
    53 |     1090 |  9.470582E+07 |  8.001196E+07
    54 |     1110 |  9.400073E+07 |  8.001196E+07
    55 |     1130 |  9.407888E+07 |  8.001196E+07
    56 |     1150 |  9.400306E+07 |  8.001196E+07
    57 |     1170 |  9.465257E+07 |  8.001196E+07
    58 |     1190 |  9.549118E+07 |  8.001196E+07
    59 |     1210 |  9.339352E+07 |  8.001196E+07
    60 |     1230 |  9.354641E+07 |  8.001196E+07
    61 |     1250 |  9.332640E+07 |  8.001196E+07
    62 |     1270 |  9.465510E+07 |  8.001196E+07
    63 |     1290 |  9.446845E+07 |  8.001196E+07
    64 |     1310 |  9.403063E+07 |  8.001196E+07
    65 |     1330 |  9.427212E+07 |  8.001196E+07
    66 |     1350 |  9.559294E+07 |  8.001196E+07
    67 |     1370 |  9.426001E+07 |  8.001196E+07
