=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  7.005580E+07 |  5.220882E+07
     2 |      100 |  6.008135E+07 |  4.852001E+07
     3 |      150 |  5.520244E+07 |  4.798099E+07
     4 |      200 |  5.152796E+07 |  4.468275E+07
     5 |      250 |  5.011089E+07 |  4.468275E+07
     6 |      300 |  4.889470E+07 |  4.322973E+07
     7 |      350 |  4.788355E+07 |  4.322973E+07
     8 |      400 |  4.742918E+07 |  4.322973E+07
     9 |      450 |  4.688624E+07 |  4.286876E+07
    10 |      500 |  4.668783E+07 |  4.286876E+07
    11 |      550 |  4.600391E+07 |  4.243241E+07
    12 |      600 |  4.578896E+07 |  4.243241E+07
    13 |      650 |  4.574921E+07 |  4.243241E+07
    14 |      700 |  4.542465E+07 |  4.243241E+07
    15 |      750 |  4.510968E+07 |  4.243241E+07
    16 |      800 |  4.469099E+07 |  4.243241E+07
    17 |      850 |  4.454486E+07 |  4.243241E+07
    18 |      900 |  4.437483E+07 |  4.243241E+07
    19 |      950 |  4.421237E+07 |  4.243241E+07
    20 |     1000 |  4.412914E+07 |  4.243241E+07
    21 |     1050 |  4.412424E+07 |  4.243241E+07
    22 |     1100 |  4.411804E+07 |  4.243241E+07
    23 |     1150 |  4.400529E+07 |  4.243241E+07
    24 |     1200 |  4.392952E+07 |  4.243241E+07
    25 |     1250 |  4.385758E+07 |  4.243241E+07
    26 |     1300 |  4.385758E+07 |  4.243241E+07
    27 |     1350 |  4.385758E+07 |  4.243241E+07
    28 |     1400 |  4.385758E+07 |  4.243241E+07
    29 |     1450 |  4.385758E+07 |  4.243241E+07
    30 |     1500 |  4.385758E+07 |  4.243241E+07
    31 |     1550 |  4.385758E+07 |  4.243241E+07
    32 |     1600 |  4.385758E+07 |  4.243241E+07
    33 |     1650 |  4.385758E+07 |  4.243241E+07
    34 |     1700 |  4.385758E+07 |  4.243241E+07
    35 |     1750 |  4.385758E+07 |  4.243241E+07
    36 |     1800 |  4.383730E+07 |  4.243241E+07
    37 |     1850 |  4.383730E+07 |  4.243241E+07
    38 |     1900 |  4.383730E+07 |  4.243241E+07
    39 |     1950 |  4.383475E+07 |  4.243241E+07
    40 |     2000 |  4.383475E+07 |  4.243241E+07
    41 |     2050 |  4.383475E+07 |  4.243241E+07
