de MKS_nc_15_ncl_3_nv_30_generated_r_0.20_0.20_0.60_2.json
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  4.275032E+07 |  3.568117E+07
     2 |      100 |  3.972769E+07 |  3.349176E+07
     3 |      150 |  3.896323E+07 |  3.349176E+07
     4 |      200 |  3.775690E+07 |  3.176212E+07
     5 |      250 |  3.705310E+07 |  3.176212E+07
     6 |      300 |  3.685946E+07 |  3.176212E+07
     7 |      350 |  3.647416E+07 |  3.176212E+07
     8 |      400 |  3.621062E+07 |  3.176212E+07
     9 |      450 |  3.600805E+07 |  3.176212E+07
    10 |      500 |  3.569370E+07 |  3.176212E+07
    11 |      550 |  3.555315E+07 |  3.176212E+07
    12 |      600 |  3.551478E+07 |  3.176212E+07
    13 |      650 |  3.549414E+07 |  3.176212E+07
    14 |      700 |  3.547644E+07 |  3.176212E+07
    15 |      750 |  3.541089E+07 |  3.176212E+07
    16 |      800 |  3.541089E+07 |  3.176212E+07
    17 |      850 |  3.539259E+07 |  3.176212E+07
    18 |      900 |  3.537235E+07 |  3.176212E+07
    19 |      950 |  3.537235E+07 |  3.176212E+07
    20 |     1000 |  3.534703E+07 |  3.176212E+07
    21 |     1050 |  3.525271E+07 |  3.176212E+07
    22 |     1100 |  3.500025E+07 |  3.176212E+07
    23 |     1150 |  3.484795E+07 |  3.176212E+07
    24 |     1200 |  3.480535E+07 |  3.176212E+07
    25 |     1250 |  3.461982E+07 |  3.096161E+07
    26 |     1300 |  3.460186E+07 |  3.096161E+07
    27 |     1350 |  3.451815E+07 |  3.096161E+07
    28 |     1400 |  3.446873E+07 |  3.096161E+07
    29 |     1450 |  3.446267E+07 |  3.096161E+07
    30 |     1500 |  3.445588E+07 |  3.096161E+07
    31 |     1550 |  3.431494E+07 |  3.096161E+07
    32 |     1600 |  3.420118E+07 |  3.096161E+07
    33 |     1650 |  3.417240E+07 |  3.096161E+07
    34 |     1700 |  3.411051E+07 |  3.096161E+07
    35 |     1750 |  3.409567E+07 |  3.096161E+07
    36 |     1800 |  3.409361E+07 |  3.096161E+07
    37 |     1850 |  3.404375E+07 |  3.096161E+07
    38 |     1900 |  3.400032E+07 |  3.096161E+07
    39 |     1950 |  3.390203E+07 |  3.096161E+07
    40 |     2000 |  3.365204E+07 |  3.096161E+07
    41 |     2050 |  3.354567E+07 |  3.096161E+07
    42 |     2100 |  3.352657E+07 |  3.096161E+07
    43 |     2150 |  3.344692E+07 |  3.096161E+07
    44 |     2200 |  3.339363E+07 |  3.028818E+07
    45 |     2250 |  3.338190E+07 |  3.028818E+07
    46 |     2300 |  3.338168E+07 |  3.028818E+07
    47 |     2350 |  3.335180E+07 |  3.028818E+07
    48 |     2400 |  3.330017E+07 |  3.028818E+07
    49 |     2450 |  3.330017E+07 |  3.028818E+07
    50 |     2500 |  3.319460E+07 |  3.028818E+07
    51 |     2550 |  3.319129E+07 |  3.028818E+07
    52 |     2600 |  3.318765E+07 |  3.028818E+07
    53 |     2650 |  3.318108E+07 |  3.028818E+07
    54 |     2700 |  3.318108E+07 |  3.028818E+07
