=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  4.141058E+07 |  2.602544E+07
     2 |      100 |  3.351186E+07 |  2.602544E+07
     3 |      150 |  2.982868E+07 |  2.431029E+07
     4 |      200 |  2.817050E+07 |  2.431029E+07
     5 |      250 |  2.681256E+07 |  2.423415E+07
     6 |      300 |  2.605765E+07 |  2.361230E+07
     7 |      350 |  2.551137E+07 |  2.361230E+07
     8 |      400 |  2.527150E+07 |  2.361230E+07
     9 |      450 |  2.508472E+07 |  2.361230E+07
    10 |      500 |  2.483652E+07 |  2.184514E+07
    11 |      550 |  2.470555E+07 |  2.184514E+07
    12 |      600 |  2.462062E+07 |  2.184514E+07
    13 |      650 |  2.456508E+07 |  2.184514E+07
    14 |      700 |  2.448141E+07 |  2.184514E+07
    15 |      750 |  2.430562E+07 |  2.184514E+07
    16 |      800 |  2.423933E+07 |  2.184514E+07
    17 |      850 |  2.412244E+07 |  2.184514E+07
    18 |      900 |  2.394978E+07 |  2.184514E+07
    19 |      950 |  2.388181E+07 |  2.184514E+07
    20 |     1000 |  2.372144E+07 |  2.184514E+07
    21 |     1050 |  2.356127E+07 |  2.123243E+07
    22 |     1100 |  2.335450E+07 |  2.123243E+07
    23 |     1150 |  2.330629E+07 |  2.123243E+07
    24 |     1200 |  2.316059E+07 |  1.972863E+07
    25 |     1250 |  2.308170E+07 |  1.965261E+07
    26 |     1300 |  2.308063E+07 |  1.965261E+07
    27 |     1350 |  2.307923E+07 |  1.965261E+07
    28 |     1400 |  2.307760E+07 |  1.965261E+07
    29 |     1450 |  2.307590E+07 |  1.965261E+07
    30 |     1500 |  2.307522E+07 |  1.965261E+07
    31 |     1550 |  2.307430E+07 |  1.965261E+07
    32 |     1600 |  2.307362E+07 |  1.965261E+07
    33 |     1650 |  2.307317E+07 |  1.965261E+07
    34 |     1700 |  2.307273E+07 |  1.965261E+07
    35 |     1750 |  2.307201E+07 |  1.965261E+07
    36 |     1800 |  2.303650E+07 |  1.965261E+07
    37 |     1850 |  2.303595E+07 |  1.965261E+07
    38 |     1900 |  2.303503E+07 |  1.965261E+07
    39 |     1950 |  2.303446E+07 |  1.965261E+07
    40 |     2000 |  2.297389E+07 |  1.965261E+07
    41 |     2050 |  2.288165E+07 |  1.965261E+07
    42 |     2100 |  2.288147E+07 |  1.965261E+07
    43 |     2150 |  2.281918E+07 |  1.965261E+07
    44 |     2200 |  2.281889E+07 |  1.965261E+07
    45 |     2250 |  2.281884E+07 |  1.965261E+07
    46 |     2300 |  2.277538E+07 |  1.965261E+07
    47 |     2350 |  2.266929E+07 |  1.965261E+07
    48 |     2400 |  2.263816E+07 |  1.965261E+07
    49 |     2450 |  2.252669E+07 |  1.965261E+07
    50 |     2500 |  2.248796E+07 |  1.965261E+07
    51 |     2550 |  2.243220E+07 |  1.965261E+07
    52 |     2600 |  2.235041E+07 |  1.965261E+07
    53 |     2650 |  2.224368E+07 |  1.965261E+07
    54 |     2700 |  2.206099E+07 |  1.965261E+07
    55 |     2750 |  2.206099E+07 |  1.965261E+07
