de JK2_nc_50_ncl_5_nv_100_generated_r_0.20_0.20_0.60_2.json
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  9.948080E+07 |  8.718137E+07
     2 |      100 |  9.384030E+07 |  8.201893E+07
     3 |      150 |  9.150521E+07 |  8.201893E+07
     4 |      200 |  8.991803E+07 |  7.909626E+07
     5 |      250 |  8.770758E+07 |  7.591728E+07
     6 |      300 |  8.628811E+07 |  7.591728E+07
     7 |      350 |  8.510734E+07 |  7.591728E+07
     8 |      400 |  8.463242E+07 |  7.591728E+07
     9 |      450 |  8.386812E+07 |  7.591728E+07
    10 |      500 |  8.297992E+07 |  7.591728E+07
    11 |      550 |  8.265002E+07 |  7.591728E+07
    12 |      600 |  8.210979E+07 |  7.448837E+07
    13 |      650 |  8.153511E+07 |  7.362903E+07
    14 |      700 |  8.098012E+07 |  7.362903E+07
    15 |      750 |  8.072283E+07 |  7.362903E+07
    16 |      800 |  8.067142E+07 |  7.362903E+07
    17 |      850 |  8.047232E+07 |  7.362903E+07
    18 |      900 |  8.031749E+07 |  7.362903E+07
    19 |      950 |  7.985566E+07 |  7.134764E+07
    20 |     1000 |  7.964565E+07 |  7.134764E+07
    21 |     1050 |  7.934667E+07 |  7.134764E+07
    22 |     1100 |  7.875232E+07 |  7.134764E+07
    23 |     1150 |  7.854808E+07 |  7.134764E+07
    24 |     1200 |  7.826012E+07 |  7.134764E+07
    25 |     1250 |  7.770401E+07 |  7.096365E+07
    26 |     1300 |  7.770401E+07 |  7.096365E+07
    27 |     1350 |  7.760592E+07 |  7.096365E+07
    28 |     1400 |  7.748650E+07 |  7.096365E+07
    29 |     1450 |  7.715442E+07 |  7.096365E+07
    30 |     1500 |  7.715183E+07 |  7.096365E+07
    31 |     1550 |  7.701521E+07 |  7.096365E+07
    32 |     1600 |  7.697488E+07 |  7.096365E+07
    33 |     1650 |  7.694373E+07 |  7.096365E+07
    34 |     1700 |  7.694351E+07 |  7.096365E+07
    35 |     1750 |  7.676922E+07 |  7.096365E+07
    36 |     1800 |  7.659638E+07 |  7.096365E+07
    37 |     1850 |  7.637321E+07 |  7.079933E+07
    38 |     1900 |  7.625728E+07 |  7.079933E+07
    39 |     1950 |  7.606488E+07 |  7.079933E+07
    40 |     2000 |  7.601924E+07 |  7.079933E+07
    41 |     2050 |  7.589840E+07 |  6.957478E+07
    42 |     2100 |  7.589840E+07 |  6.957478E+07
    43 |     2150 |  7.587043E+07 |  6.957478E+07
    44 |     2200 |  7.586616E+07 |  6.957478E+07
    45 |     2250 |  7.582316E+07 |  6.957478E+07
    46 |     2300 |  7.570795E+07 |  6.957478E+07
    47 |     2350 |  7.558724E+07 |  6.957478E+07
    48 |     2400 |  7.550883E+07 |  6.957478E+07
    49 |     2450 |  7.550883E+07 |  6.957478E+07
    50 |     2500 |  7.536508E+07 |  6.957478E+07
    51 |     2550 |  7.536508E+07 |  6.957478E+07
    52 |     2600 |  7.536508E+07 |  6.957478E+07
    53 |     2650 |  7.525861E+07 |  6.957478E+07
    54 |     2700 |  7.518601E+07 |  6.957478E+07
    55 |     2750 |  7.515890E+07 |  6.957478E+07
    56 |     2800 |  7.515890E+07 |  6.957478E+07
    57 |     2850 |  7.515890E+07 |  6.957478E+07
    58 |     2900 |  7.515890E+07 |  6.957478E+07
    59 |     2950 |  7.515890E+07 |  6.957478E+07
    60 |     3000 |  7.511429E+07 |  6.957478E+07
    61 |     3050 |  7.511429E+07 |  6.957478E+07
    62 |     3100 |  7.511222E+07 |  6.957478E+07
