=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  7.289380E+07 |  6.467000E+07
     2 |      100 |  7.053465E+07 |  6.467000E+07
     3 |      150 |  6.887321E+07 |  6.318844E+07
     4 |      200 |  6.752905E+07 |  5.930126E+07
     5 |      250 |  6.666792E+07 |  5.742681E+07
     6 |      300 |  6.597975E+07 |  5.742681E+07
     7 |      350 |  6.556224E+07 |  5.742681E+07
     8 |      400 |  6.548451E+07 |  5.742681E+07
     9 |      450 |  6.501153E+07 |  5.742681E+07
    10 |      500 |  6.477116E+07 |  5.742681E+07
    11 |      550 |  6.461768E+07 |  5.742681E+07
    12 |      600 |  6.448958E+07 |  5.742681E+07
    13 |      650 |  6.432311E+07 |  5.742681E+07
    14 |      700 |  6.427028E+07 |  5.742681E+07
    15 |      750 |  6.412834E+07 |  5.742681E+07
    16 |      800 |  6.390930E+07 |  5.742681E+07
    17 |      850 |  6.360236E+07 |  5.742681E+07
    18 |      900 |  6.356266E+07 |  5.742681E+07
    19 |      950 |  6.329159E+07 |  5.742681E+07
    20 |     1000 |  6.327040E+07 |  5.742681E+07
    21 |     1050 |  6.287716E+07 |  5.742681E+07
    22 |     1100 |  6.273720E+07 |  5.742681E+07
    23 |     1150 |  6.273720E+07 |  5.742681E+07
    24 |     1200 |  6.273720E+07 |  5.742681E+07
    25 |     1250 |  6.264473E+07 |  5.742681E+07
    26 |     1300 |  6.235123E+07 |  5.742681E+07
    27 |     1350 |  6.216666E+07 |  5.742681E+07
    28 |     1400 |  6.203204E+07 |  5.742681E+07
    29 |     1450 |  6.203204E+07 |  5.742681E+07
    30 |     1500 |  6.187200E+07 |  5.742681E+07
    31 |     1550 |  6.184048E+07 |  5.742681E+07
    32 |     1600 |  6.184048E+07 |  5.742681E+07
    33 |     1650 |  6.183803E+07 |  5.742681E+07
    34 |     1700 |  6.183803E+07 |  5.742681E+07
    35 |     1750 |  6.170477E+07 |  5.742681E+07
