brkga MKS_nc_48_ncl_3_nv_100_historical_4.json
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.282961E+08 |  1.086107E+08
     2 |       70 |  1.254596E+08 |  1.086107E+08
     3 |       90 |  1.225741E+08 |  1.086107E+08
     4 |      110 |  1.228152E+08 |  1.086107E+08
     5 |      130 |  1.207356E+08 |  1.086107E+08
     6 |      150 |  1.189388E+08 |  1.078357E+08
     7 |      170 |  1.186497E+08 |  1.078357E+08
     8 |      190 |  1.176325E+08 |  1.038152E+08
     9 |      210 |  1.176393E+08 |  1.022895E+08
    10 |      230 |  1.160508E+08 |  1.022895E+08
    11 |      250 |  1.148455E+08 |  9.485901E+07
    12 |      270 |  1.143788E+08 |  9.485901E+07
    13 |      290 |  1.145226E+08 |  9.485901E+07
    14 |      310 |  1.120985E+08 |  9.485901E+07
    15 |      330 |  1.123955E+08 |  9.485901E+07
    16 |      350 |  1.116678E+08 |  9.485901E+07
    17 |      370 |  1.118363E+08 |  9.485901E+07
    18 |      390 |  1.111338E+08 |  9.485901E+07
    19 |      410 |  1.112351E+08 |  9.485901E+07
    20 |      430 |  1.104538E+08 |  9.485901E+07
    21 |      450 |  1.102765E+08 |  9.485901E+07
    22 |      470 |  1.107386E+08 |  9.485901E+07
    23 |      490 |  1.102544E+08 |  9.485901E+07
    24 |      510 |  1.093451E+08 |  9.485901E+07
    25 |      530 |  1.090976E+08 |  9.485901E+07
    26 |      550 |  1.074875E+08 |  9.485901E+07
    27 |      570 |  1.076986E+08 |  9.485901E+07
    28 |      590 |  1.076340E+08 |  9.485901E+07
    29 |      610 |  1.079010E+08 |  9.485901E+07
    30 |      630 |  1.069307E+08 |  9.485901E+07
    31 |      650 |  1.062834E+08 |  9.009877E+07
    32 |      670 |  1.060924E+08 |  9.009877E+07
    33 |      690 |  1.073414E+08 |  9.009877E+07
    34 |      710 |  1.063732E+08 |  9.009877E+07
    35 |      730 |  1.053722E+08 |  9.009877E+07
    36 |      750 |  1.059498E+08 |  9.009877E+07
    37 |      770 |  1.065054E+08 |  9.009877E+07
    38 |      790 |  1.056800E+08 |  9.009877E+07
    39 |      810 |  1.060378E+08 |  9.009877E+07
    40 |      830 |  1.055150E+08 |  9.009877E+07
    41 |      850 |  1.051286E+08 |  9.009877E+07
    42 |      870 |  1.053864E+08 |  9.009877E+07
    43 |      890 |  1.043293E+08 |  9.009877E+07
    44 |      910 |  1.047187E+08 |  9.009877E+07
    45 |      930 |  1.051308E+08 |  9.009877E+07
    46 |      950 |  1.053635E+08 |  9.009877E+07
    47 |      970 |  1.047613E+08 |  9.009877E+07
    48 |      990 |  1.041170E+08 |  9.009877E+07
    49 |     1010 |  1.033964E+08 |  9.009877E+07
    50 |     1030 |  1.022685E+08 |  9.009877E+07
    51 |     1050 |  1.032843E+08 |  9.009877E+07
    52 |     1070 |  1.016201E+08 |  9.009877E+07
    53 |     1090 |  1.023068E+08 |  9.009877E+07
    54 |     1110 |  1.028611E+08 |  9.009877E+07
    55 |     1130 |  1.017341E+08 |  8.555749E+07
    56 |     1150 |  1.025367E+08 |  8.555749E+07
    57 |     1170 |  1.032882E+08 |  8.555749E+07
    58 |     1190 |  1.023135E+08 |  8.555749E+07
    59 |     1210 |  1.002206E+08 |  8.555749E+07
    60 |     1230 |  1.009919E+08 |  8.555749E+07
    61 |     1250 |  9.980186E+07 |  8.555749E+07
    62 |     1270 |  1.022126E+08 |  8.555749E+07
    63 |     1290 |  1.003605E+08 |  8.555749E+07
    64 |     1310 |  1.004034E+08 |  8.555749E+07
    65 |     1330 |  9.992538E+07 |  8.555749E+07
    66 |     1350 |  1.001687E+08 |  8.555749E+07
    67 |     1370 |  1.000017E+08 |  8.555749E+07
    68 |     1390 |  9.825476E+07 |  8.555749E+07
    69 |     1410 |  9.820898E+07 |  8.555749E+07
    70 |     1430 |  9.861910E+07 |  8.555749E+07
    71 |     1450 |  9.849529E+07 |  8.537978E+07
    72 |     1470 |  9.676436E+07 |  8.537978E+07
    73 |     1490 |  9.556721E+07 |  8.537978E+07
    74 |     1510 |  9.620161E+07 |  8.537978E+07
    75 |     1530 |  9.641854E+07 |  8.537978E+07
    76 |     1550 |  9.590537E+07 |  8.465880E+07
    77 |     1570 |  9.470435E+07 |  8.409009E+07
    78 |     1590 |  9.538414E+07 |  8.356594E+07
    79 |     1610 |  9.405721E+07 |  8.356594E+07
    80 |     1630 |  9.415350E+07 |  7.469821E+07
    81 |     1650 |  9.366186E+07 |  7.469821E+07
    82 |     1670 |  9.353167E+07 |  7.469821E+07
    83 |     1690 |  9.247837E+07 |  7.469821E+07
    84 |     1710 |  9.310830E+07 |  7.469821E+07
    85 |     1730 |  9.187020E+07 |  7.469821E+07
    86 |     1750 |  9.117721E+07 |  7.469821E+07
    87 |     1770 |  8.945945E+07 |  7.469821E+07
    88 |     1790 |  8.940915E+07 |  7.469821E+07
    89 |     1810 |  8.932722E+07 |  7.469821E+07
    90 |     1830 |  8.983520E+07 |  7.469821E+07
    91 |     1850 |  9.113789E+07 |  7.469821E+07
    92 |     1870 |  8.758486E+07 |  7.469821E+07
    93 |     1890 |  8.862469E+07 |  7.469821E+07
    94 |     1910 |  8.889987E+07 |  7.469821E+07
    95 |     1930 |  8.816185E+07 |  7.469821E+07
    96 |     1950 |  8.789189E+07 |  7.315205E+07
    97 |     1970 |  8.878512E+07 |  7.315205E+07
    98 |     1990 |  8.824229E+07 |  7.315205E+07
    99 |     2010 |  8.693686E+07 |  7.315205E+07
   100 |     2030 |  8.894769E+07 |  7.315205E+07
