=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  8.650545E+07 |  7.049499E+07
     2 |      100 |  8.120105E+07 |  6.877881E+07
     3 |      150 |  7.928346E+07 |  6.877881E+07
     4 |      200 |  7.795504E+07 |  6.877881E+07
     5 |      250 |  7.693890E+07 |  6.877881E+07
     6 |      300 |  7.578098E+07 |  6.877881E+07
     7 |      350 |  7.510487E+07 |  6.857212E+07
     8 |      400 |  7.434813E+07 |  6.853253E+07
     9 |      450 |  7.303639E+07 |  6.448901E+07
    10 |      500 |  7.269644E+07 |  6.448901E+07
    11 |      550 |  7.257707E+07 |  6.448901E+07
    12 |      600 |  7.239361E+07 |  6.448901E+07
    13 |      650 |  7.224375E+07 |  6.448901E+07
    14 |      700 |  7.217930E+07 |  6.448901E+07
    15 |      750 |  7.186063E+07 |  6.448901E+07
    16 |      800 |  7.166525E+07 |  6.448901E+07
    17 |      850 |  7.154672E+07 |  6.448901E+07
    18 |      900 |  7.148770E+07 |  6.448901E+07
    19 |      950 |  7.148444E+07 |  6.448901E+07
    20 |     1000 |  7.148152E+07 |  6.448901E+07
    21 |     1050 |  7.140608E+07 |  6.448901E+07
    22 |     1100 |  7.140608E+07 |  6.448901E+07
    23 |     1150 |  7.140608E+07 |  6.448901E+07
    24 |     1200 |  7.139268E+07 |  6.448901E+07
    25 |     1250 |  7.139268E+07 |  6.448901E+07
    26 |     1300 |  7.138877E+07 |  6.448901E+07
    27 |     1350 |  7.138877E+07 |  6.448901E+07
    28 |     1400 |  7.137439E+07 |  6.448901E+07
    29 |     1450 |  7.117764E+07 |  6.448901E+07
    30 |     1500 |  7.117764E+07 |  6.448901E+07
    31 |     1550 |  7.106365E+07 |  6.448901E+07
    32 |     1600 |  7.105244E+07 |  6.448901E+07
    33 |     1650 |  7.103944E+07 |  6.448901E+07
    34 |     1700 |  7.101843E+07 |  6.448901E+07
    35 |     1750 |  7.101843E+07 |  6.448901E+07
    36 |     1800 |  7.099272E+07 |  6.448901E+07
    37 |     1850 |  7.099272E+07 |  6.448901E+07
    38 |     1900 |  7.096548E+07 |  6.448901E+07
    39 |     1950 |  7.093336E+07 |  6.448901E+07
