=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  8.315046E+07 |  6.360787E+07
     2 |       70 |  7.719985E+07 |  6.342975E+07
     3 |       90 |  7.606961E+07 |  6.053694E+07
     4 |      110 |  7.451355E+07 |  5.870398E+07
     5 |      130 |  7.167136E+07 |  5.870398E+07
     6 |      150 |  7.027906E+07 |  5.687057E+07
     7 |      170 |  6.980637E+07 |  5.687057E+07
     8 |      190 |  6.935381E+07 |  5.687057E+07
     9 |      210 |  6.802797E+07 |  5.687057E+07
    10 |      230 |  6.869501E+07 |  5.687057E+07
    11 |      250 |  6.730670E+07 |  5.687057E+07
    12 |      270 |  6.809768E+07 |  5.687057E+07
    13 |      290 |  6.806542E+07 |  5.578296E+07
    14 |      310 |  6.623476E+07 |  5.512319E+07
    15 |      330 |  6.618173E+07 |  5.512319E+07
    16 |      350 |  6.575492E+07 |  5.512319E+07
    17 |      370 |  6.441603E+07 |  5.512319E+07
    18 |      390 |  6.558954E+07 |  5.512319E+07
    19 |      410 |  6.503942E+07 |  5.512319E+07
    20 |      430 |  6.437366E+07 |  5.512319E+07
    21 |      450 |  6.519165E+07 |  5.512319E+07
    22 |      470 |  6.481523E+07 |  5.512319E+07
    23 |      490 |  6.430845E+07 |  5.512319E+07
    24 |      510 |  6.365476E+07 |  5.512319E+07
    25 |      530 |  6.361657E+07 |  5.512319E+07
    26 |      550 |  6.332312E+07 |  5.512319E+07
    27 |      570 |  6.449054E+07 |  5.512319E+07
    28 |      590 |  6.363830E+07 |  5.512319E+07
    29 |      610 |  6.284602E+07 |  5.494988E+07
    30 |      630 |  6.372900E+07 |  5.401053E+07
    31 |      650 |  6.386686E+07 |  5.401053E+07
    32 |      670 |  6.362044E+07 |  5.401053E+07
    33 |      690 |  6.235135E+07 |  5.401053E+07
    34 |      710 |  6.398484E+07 |  5.272897E+07
    35 |      730 |  6.305610E+07 |  5.107770E+07
    36 |      750 |  6.288278E+07 |  5.107770E+07
    37 |      770 |  6.113672E+07 |  5.107770E+07
    38 |      790 |  6.230782E+07 |  5.107770E+07
    39 |      810 |  6.239356E+07 |  5.107770E+07
    40 |      830 |  6.302534E+07 |  5.107770E+07
    41 |      850 |  6.186825E+07 |  5.107770E+07
    42 |      870 |  6.223260E+07 |  5.107770E+07
    43 |      890 |  6.258490E+07 |  5.107770E+07
    44 |      910 |  6.285675E+07 |  5.107770E+07
    45 |      930 |  6.400142E+07 |  5.107770E+07
    46 |      950 |  6.269325E+07 |  5.107770E+07
    47 |      970 |  6.207067E+07 |  5.107770E+07
    48 |      990 |  6.262984E+07 |  5.107770E+07
    49 |     1010 |  6.111151E+07 |  5.107770E+07
    50 |     1030 |  6.162191E+07 |  5.107770E+07
    51 |     1050 |  6.202394E+07 |  5.107770E+07
    52 |     1070 |  6.221816E+07 |  5.107770E+07
    53 |     1090 |  6.281956E+07 |  5.107770E+07
    54 |     1110 |  6.317548E+07 |  5.107770E+07
    55 |     1130 |  6.150007E+07 |  5.107770E+07
    56 |     1150 |  6.227070E+07 |  5.107770E+07
    57 |     1170 |  6.254747E+07 |  5.107770E+07
    58 |     1190 |  6.249900E+07 |  5.107770E+07
    59 |     1210 |  6.212302E+07 |  5.107770E+07
    60 |     1230 |  6.136467E+07 |  5.107770E+07
    61 |     1250 |  6.210445E+07 |  5.107770E+07
    62 |     1270 |  6.154969E+07 |  5.107770E+07
    63 |     1290 |  6.132627E+07 |  5.102083E+07
    64 |     1310 |  6.130556E+07 |  5.102083E+07
    65 |     1330 |  6.113277E+07 |  5.102083E+07
    66 |     1350 |  6.063401E+07 |  5.102083E+07
    67 |     1370 |  6.220239E+07 |  5.102083E+07
    68 |     1390 |  6.090775E+07 |  5.102083E+07
    69 |     1410 |  6.242596E+07 |  5.102083E+07
    70 |     1430 |  6.236716E+07 |  5.102083E+07
    71 |     1450 |  6.148613E+07 |  5.102083E+07
    72 |     1470 |  6.151175E+07 |  5.102083E+07
    73 |     1490 |  6.152227E+07 |  5.102083E+07
    74 |     1510 |  6.091030E+07 |  5.102083E+07
    75 |     1530 |  6.113495E+07 |  5.102083E+07
    76 |     1550 |  6.245628E+07 |  5.102083E+07
    77 |     1570 |  6.267275E+07 |  5.102083E+07
    78 |     1590 |  6.150931E+07 |  5.102083E+07
    79 |     1610 |  6.113166E+07 |  5.102083E+07
    80 |     1630 |  6.028732E+07 |  5.102083E+07
    81 |     1650 |  6.212681E+07 |  5.102083E+07
    82 |     1670 |  6.204171E+07 |  5.102083E+07
    83 |     1690 |  6.173135E+07 |  5.102083E+07
    84 |     1710 |  6.217481E+07 |  5.102083E+07
    85 |     1730 |  6.046332E+07 |  5.102083E+07
    86 |     1750 |  6.101356E+07 |  5.102083E+07
    87 |     1770 |  6.125832E+07 |  5.102083E+07
    88 |     1790 |  6.008557E+07 |  5.102083E+07
    89 |     1810 |  6.115990E+07 |  5.102083E+07
    90 |     1830 |  6.136413E+07 |  5.102083E+07
    91 |     1850 |  6.061372E+07 |  5.102083E+07
    92 |     1870 |  6.107025E+07 |  5.102083E+07
    93 |     1890 |  6.112603E+07 |  5.102083E+07
