=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.209205E+08 |  8.866889E+07
     2 |       70 |  1.169277E+08 |  8.866889E+07
     3 |       90 |  1.114557E+08 |  8.859381E+07
     4 |      110 |  1.070594E+08 |  8.771343E+07
     5 |      130 |  1.053643E+08 |  8.771343E+07
     6 |      150 |  1.027026E+08 |  8.220819E+07
     7 |      170 |  9.988710E+07 |  7.960559E+07
     8 |      190 |  9.806226E+07 |  7.960559E+07
     9 |      210 |  9.800635E+07 |  7.960559E+07
    10 |      230 |  9.756183E+07 |  7.960559E+07
    11 |      250 |  9.672735E+07 |  7.960559E+07
    12 |      270 |  9.452455E+07 |  7.747654E+07
    13 |      290 |  9.572194E+07 |  7.747654E+07
    14 |      310 |  9.299082E+07 |  7.747654E+07
    15 |      330 |  9.349568E+07 |  7.747654E+07
    16 |      350 |  9.242830E+07 |  7.517622E+07
    17 |      370 |  9.246262E+07 |  7.517622E+07
    18 |      390 |  9.002893E+07 |  7.517622E+07
    19 |      410 |  9.042654E+07 |  7.517622E+07
    20 |      430 |  8.915527E+07 |  7.517622E+07
    21 |      450 |  8.852007E+07 |  7.517622E+07
    22 |      470 |  8.925436E+07 |  7.517622E+07
    23 |      490 |  8.859463E+07 |  7.517622E+07
    24 |      510 |  8.835565E+07 |  7.517622E+07
    25 |      530 |  8.842867E+07 |  7.517622E+07
    26 |      550 |  8.899413E+07 |  7.517622E+07
    27 |      570 |  8.876395E+07 |  7.517622E+07
    28 |      590 |  8.786451E+07 |  7.517622E+07
    29 |      610 |  8.762568E+07 |  7.517622E+07
    30 |      630 |  8.781734E+07 |  7.517622E+07
    31 |      650 |  8.808107E+07 |  7.517622E+07
    32 |      670 |  8.697409E+07 |  7.517622E+07
    33 |      690 |  8.873030E+07 |  7.517622E+07
    34 |      710 |  8.833781E+07 |  7.517622E+07
    35 |      730 |  8.715307E+07 |  7.517622E+07
    36 |      750 |  8.835414E+07 |  7.517622E+07
    37 |      770 |  8.771059E+07 |  7.517622E+07
    38 |      790 |  8.718767E+07 |  7.517622E+07
    39 |      810 |  8.772122E+07 |  7.517622E+07
    40 |      830 |  8.787689E+07 |  7.517622E+07
    41 |      850 |  8.707083E+07 |  7.517622E+07
    42 |      870 |  8.603660E+07 |  7.517622E+07
    43 |      890 |  8.816451E+07 |  7.517622E+07
    44 |      910 |  8.691555E+07 |  7.517622E+07
    45 |      930 |  8.773899E+07 |  7.517622E+07
    46 |      950 |  8.670312E+07 |  7.517622E+07
