=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  4.342360E+07 |  3.857979E+07
     2 |       70 |  4.186731E+07 |  3.255644E+07
     3 |       90 |  4.183562E+07 |  3.255644E+07
     4 |      110 |  4.098415E+07 |  3.255644E+07
     5 |      130 |  4.080670E+07 |  3.255644E+07
     6 |      150 |  4.060796E+07 |  3.255644E+07
     7 |      170 |  4.051053E+07 |  3.255644E+07
     8 |      190 |  3.999349E+07 |  3.227735E+07
     9 |      210 |  4.037875E+07 |  3.227735E+07
    10 |      230 |  4.037210E+07 |  3.227735E+07
    11 |      250 |  3.995109E+07 |  3.227735E+07
    12 |      270 |  4.025534E+07 |  3.227735E+07
    13 |      290 |  4.005081E+07 |  3.227735E+07
    14 |      310 |  4.005173E+07 |  3.227735E+07
    15 |      330 |  3.934270E+07 |  3.202285E+07
    16 |      350 |  4.000363E+07 |  3.202285E+07
    17 |      370 |  3.947842E+07 |  3.202285E+07
    18 |      390 |  3.926862E+07 |  3.185196E+07
    19 |      410 |  3.950683E+07 |  3.185196E+07
    20 |      430 |  3.865264E+07 |  3.185196E+07
    21 |      450 |  3.926735E+07 |  3.185196E+07
    22 |      470 |  3.845544E+07 |  3.185196E+07
    23 |      490 |  3.848987E+07 |  3.185196E+07
    24 |      510 |  3.842140E+07 |  3.185196E+07
    25 |      530 |  3.805827E+07 |  3.185196E+07
    26 |      550 |  3.821791E+07 |  3.185196E+07
    27 |      570 |  3.866667E+07 |  3.185196E+07
    28 |      590 |  3.851730E+07 |  3.185196E+07
    29 |      610 |  3.785179E+07 |  3.178029E+07
    30 |      630 |  3.799509E+07 |  3.171397E+07
    31 |      650 |  3.885853E+07 |  3.171397E+07
    32 |      670 |  3.814192E+07 |  3.171397E+07
    33 |      690 |  3.820160E+07 |  3.171397E+07
    34 |      710 |  3.772850E+07 |  3.171397E+07
    35 |      730 |  3.796088E+07 |  3.171397E+07
    36 |      750 |  3.814320E+07 |  3.171397E+07
    37 |      770 |  3.838074E+07 |  3.171397E+07
    38 |      790 |  3.783824E+07 |  3.171397E+07
    39 |      810 |  3.791175E+07 |  3.171397E+07
    40 |      830 |  3.797714E+07 |  3.171397E+07
    41 |      850 |  3.762681E+07 |  3.171397E+07
    42 |      870 |  3.860688E+07 |  3.171397E+07
    43 |      890 |  3.746623E+07 |  3.171397E+07
    44 |      910 |  3.766275E+07 |  2.560928E+07
    45 |      930 |  3.772976E+07 |  2.560928E+07
    46 |      950 |  3.771902E+07 |  2.560928E+07
    47 |      970 |  3.744797E+07 |  2.560928E+07
    48 |      990 |  3.763982E+07 |  2.560928E+07
    49 |     1010 |  3.727712E+07 |  2.560928E+07
    50 |     1030 |  3.781150E+07 |  2.560928E+07
    51 |     1050 |  3.779354E+07 |  2.560928E+07
    52 |     1070 |  3.740644E+07 |  2.560928E+07
    53 |     1090 |  3.720450E+07 |  2.560928E+07
    54 |     1110 |  3.734841E+07 |  2.560928E+07
    55 |     1130 |  3.743924E+07 |  2.560928E+07
    56 |     1150 |  3.759738E+07 |  2.560928E+07
    57 |     1170 |  3.713361E+07 |  2.560928E+07
    58 |     1190 |  3.769313E+07 |  2.560928E+07
    59 |     1210 |  3.741133E+07 |  2.560928E+07
    60 |     1230 |  3.769758E+07 |  2.560928E+07
    61 |     1250 |  3.746911E+07 |  2.560928E+07
    62 |     1270 |  3.659046E+07 |  2.560928E+07
    63 |     1290 |  3.690088E+07 |  2.560928E+07
    64 |     1310 |  3.695779E+07 |  2.560928E+07
    65 |     1330 |  3.725609E+07 |  2.560928E+07
    66 |     1350 |  3.688870E+07 |  2.560928E+07
    67 |     1370 |  3.760446E+07 |  2.560928E+07
    68 |     1390 |  3.730751E+07 |  2.560928E+07
    69 |     1410 |  3.730471E+07 |  2.560928E+07
    70 |     1430 |  3.731303E+07 |  2.560928E+07
    71 |     1450 |  3.731390E+07 |  2.560928E+07
    72 |     1470 |  3.756218E+07 |  2.560928E+07
    73 |     1490 |  3.721320E+07 |  2.560928E+07
    74 |     1510 |  3.728037E+07 |  2.560928E+07
