=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.553905E+08 |  1.380791E+08
     2 |      100 |  1.516535E+08 |  1.380791E+08
     3 |      150 |  1.492819E+08 |  1.380791E+08
     4 |      200 |  1.470155E+08 |  1.360445E+08
     5 |      250 |  1.460277E+08 |  1.348953E+08
     6 |      300 |  1.446976E+08 |  1.348953E+08
     7 |      350 |  1.442335E+08 |  1.348953E+08
     8 |      400 |  1.436560E+08 |  1.348953E+08
     9 |      450 |  1.433894E+08 |  1.348953E+08
    10 |      500 |  1.422114E+08 |  1.348953E+08
    11 |      550 |  1.414817E+08 |  1.332487E+08
    12 |      600 |  1.413808E+08 |  1.332487E+08
    13 |      650 |  1.409649E+08 |  1.332487E+08
    14 |      700 |  1.408038E+08 |  1.332487E+08
    15 |      750 |  1.402864E+08 |  1.266283E+08
    16 |      800 |  1.401535E+08 |  1.266283E+08
    17 |      850 |  1.398758E+08 |  1.266283E+08
    18 |      900 |  1.394823E+08 |  1.266283E+08
    19 |      950 |  1.393982E+08 |  1.266283E+08
    20 |     1000 |  1.391663E+08 |  1.266283E+08
    21 |     1050 |  1.390542E+08 |  1.266283E+08
    22 |     1100 |  1.389388E+08 |  1.266283E+08
    23 |     1150 |  1.388646E+08 |  1.266283E+08
    24 |     1200 |  1.386813E+08 |  1.266283E+08
    25 |     1250 |  1.386063E+08 |  1.266283E+08
    26 |     1300 |  1.380198E+08 |  1.236602E+08
    27 |     1350 |  1.379813E+08 |  1.236602E+08
    28 |     1400 |  1.379656E+08 |  1.236602E+08
    29 |     1450 |  1.376941E+08 |  1.236602E+08
    30 |     1500 |  1.376941E+08 |  1.236602E+08
    31 |     1550 |  1.376941E+08 |  1.236602E+08
    32 |     1600 |  1.376941E+08 |  1.236602E+08
    33 |     1650 |  1.374459E+08 |  1.236602E+08
    34 |     1700 |  1.373813E+08 |  1.236602E+08
    35 |     1750 |  1.373752E+08 |  1.236602E+08
    36 |     1800 |  1.371837E+08 |  1.236602E+08
    37 |     1850 |  1.370697E+08 |  1.236602E+08
    38 |     1900 |  1.369587E+08 |  1.236602E+08
    39 |     1950 |  1.369587E+08 |  1.236602E+08
    40 |     2000 |  1.368462E+08 |  1.236602E+08
    41 |     2050 |  1.367897E+08 |  1.236602E+08
    42 |     2100 |  1.366341E+08 |  1.236602E+08
    43 |     2150 |  1.366088E+08 |  1.236602E+08
    44 |     2200 |  1.364865E+08 |  1.236602E+08
    45 |     2250 |  1.364329E+08 |  1.236602E+08
    46 |     2300 |  1.361907E+08 |  1.236602E+08
    47 |     2350 |  1.361907E+08 |  1.236602E+08
    48 |     2400 |  1.361725E+08 |  1.236602E+08
    49 |     2450 |  1.361606E+08 |  1.236602E+08
    50 |     2500 |  1.361606E+08 |  1.236602E+08
    51 |     2550 |  1.361606E+08 |  1.236602E+08
    52 |     2600 |  1.361606E+08 |  1.236602E+08
    53 |     2650 |  1.358154E+08 |  1.236602E+08
    54 |     2700 |  1.356932E+08 |  1.236602E+08
    55 |     2750 |  1.356692E+08 |  1.236602E+08
    56 |     2800 |  1.356311E+08 |  1.236602E+08
