=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.282771E+08 |  9.664633E+07
     2 |       70 |  1.256183E+08 |  9.664633E+07
     3 |       90 |  1.229249E+08 |  9.664633E+07
     4 |      110 |  1.220128E+08 |  9.664633E+07
     5 |      130 |  1.196854E+08 |  9.664633E+07
     6 |      150 |  1.178014E+08 |  9.664633E+07
     7 |      170 |  1.178807E+08 |  9.664633E+07
     8 |      190 |  1.175467E+08 |  9.664633E+07
     9 |      210 |  1.175064E+08 |  9.664633E+07
    10 |      230 |  1.169611E+08 |  9.664633E+07
    11 |      250 |  1.174148E+08 |  9.664633E+07
    12 |      270 |  1.144516E+08 |  9.664633E+07
    13 |      290 |  1.157120E+08 |  9.664633E+07
    14 |      310 |  1.147661E+08 |  9.664633E+07
    15 |      330 |  1.133539E+08 |  9.664633E+07
    16 |      350 |  1.133571E+08 |  9.664633E+07
    17 |      370 |  1.121106E+08 |  9.664633E+07
    18 |      390 |  1.112240E+08 |  9.664633E+07
    19 |      410 |  1.106432E+08 |  9.598931E+07
    20 |      430 |  1.090367E+08 |  9.598931E+07
    21 |      450 |  1.097356E+08 |  9.598931E+07
    22 |      470 |  1.093873E+08 |  9.598931E+07
    23 |      490 |  1.094139E+08 |  9.598931E+07
    24 |      510 |  1.088926E+08 |  9.598931E+07
    25 |      530 |  1.077639E+08 |  9.598931E+07
    26 |      550 |  1.083323E+08 |  9.598931E+07
    27 |      570 |  1.077940E+08 |  9.598931E+07
    28 |      590 |  1.061738E+08 |  9.598931E+07
    29 |      610 |  1.077941E+08 |  9.420889E+07
    30 |      630 |  1.063830E+08 |  9.420889E+07
    31 |      650 |  1.061623E+08 |  9.195366E+07
    32 |      670 |  1.062385E+08 |  9.195366E+07
    33 |      690 |  1.059488E+08 |  9.195366E+07
    34 |      710 |  1.057334E+08 |  8.869693E+07
    35 |      730 |  1.053095E+08 |  8.869693E+07
    36 |      750 |  1.034900E+08 |  8.869693E+07
    37 |      770 |  1.024050E+08 |  8.869693E+07
    38 |      790 |  1.016927E+08 |  8.869693E+07
    39 |      810 |  1.019025E+08 |  8.869693E+07
    40 |      830 |  1.020713E+08 |  8.007850E+07
    41 |      850 |  1.016133E+08 |  8.007850E+07
    42 |      870 |  1.004644E+08 |  8.007850E+07
    43 |      890 |  1.016002E+08 |  8.007850E+07
    44 |      910 |  1.004740E+08 |  8.007850E+07
    45 |      930 |  9.947934E+07 |  8.007850E+07
    46 |      950 |  9.906991E+07 |  8.007850E+07
    47 |      970 |  9.812347E+07 |  8.007850E+07
    48 |      990 |  9.815806E+07 |  8.007850E+07
    49 |     1010 |  9.856045E+07 |  8.007850E+07
    50 |     1030 |  9.596300E+07 |  8.007850E+07
    51 |     1050 |  9.613148E+07 |  8.007850E+07
    52 |     1070 |  9.701208E+07 |  8.007850E+07
    53 |     1090 |  9.635122E+07 |  8.007850E+07
    54 |     1110 |  9.540728E+07 |  8.007850E+07
    55 |     1130 |  9.665045E+07 |  8.007850E+07
    56 |     1150 |  9.515607E+07 |  8.007850E+07
    57 |     1170 |  9.271661E+07 |  8.007850E+07
    58 |     1190 |  9.284628E+07 |  8.007850E+07
    59 |     1210 |  9.255806E+07 |  8.007850E+07
    60 |     1230 |  9.428828E+07 |  8.007850E+07
    61 |     1250 |  9.329159E+07 |  8.007850E+07
    62 |     1270 |  9.138860E+07 |  8.007850E+07
    63 |     1290 |  9.150040E+07 |  8.007850E+07
    64 |     1310 |  9.228029E+07 |  8.007850E+07
    65 |     1330 |  9.164176E+07 |  7.333187E+07
    66 |     1350 |  9.009911E+07 |  7.333187E+07
    67 |     1370 |  8.969077E+07 |  7.333187E+07
    68 |     1390 |  9.052611E+07 |  7.333187E+07
    69 |     1410 |  8.952389E+07 |  7.333187E+07
    70 |     1430 |  8.876340E+07 |  7.333187E+07
    71 |     1450 |  8.863031E+07 |  7.016927E+07
    72 |     1470 |  8.792199E+07 |  7.016927E+07
    73 |     1490 |  8.831395E+07 |  7.016927E+07
    74 |     1510 |  8.894035E+07 |  7.016927E+07
    75 |     1530 |  8.757075E+07 |  7.016927E+07
    76 |     1550 |  8.785509E+07 |  7.016927E+07
    77 |     1570 |  8.700651E+07 |  7.016927E+07
    78 |     1590 |  8.476655E+07 |  7.016927E+07
    79 |     1610 |  8.652158E+07 |  7.016927E+07
    80 |     1630 |  8.536001E+07 |  7.016927E+07
    81 |     1650 |  8.487382E+07 |  7.016927E+07
    82 |     1670 |  8.543787E+07 |  7.016927E+07
    83 |     1690 |  8.509741E+07 |  7.016927E+07
    84 |     1710 |  8.392262E+07 |  7.016927E+07
    85 |     1730 |  8.472571E+07 |  7.016927E+07
    86 |     1750 |  8.363907E+07 |  7.013866E+07
    87 |     1770 |  8.257950E+07 |  7.013866E+07
    88 |     1790 |  8.231845E+07 |  6.748594E+07
    89 |     1810 |  8.084671E+07 |  6.748594E+07
    90 |     1830 |  8.167207E+07 |  6.748594E+07
    91 |     1850 |  8.184865E+07 |  6.748594E+07
    92 |     1870 |  8.100421E+07 |  6.748594E+07
    93 |     1890 |  8.091628E+07 |  6.748594E+07
    94 |     1910 |  8.073873E+07 |  6.748594E+07
    95 |     1930 |  8.089332E+07 |  6.748594E+07
    96 |     1950 |  7.969987E+07 |  6.595560E+07
    97 |     1970 |  8.103466E+07 |  6.222108E+07
    98 |     1990 |  8.081825E+07 |  6.222108E+07
    99 |     2010 |  7.859364E+07 |  6.222108E+07
   100 |     2030 |  7.703878E+07 |  6.222108E+07
