=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  8.607383E+07 |  6.308736E+07
     2 |      100 |  8.342047E+07 |  6.308736E+07
     3 |      150 |  8.050777E+07 |  6.308736E+07
     4 |      200 |  7.895678E+07 |  6.308736E+07
     5 |      250 |  7.748304E+07 |  6.308736E+07
     6 |      300 |  7.605008E+07 |  6.308736E+07
     7 |      350 |  7.481351E+07 |  6.308736E+07
     8 |      400 |  7.315118E+07 |  6.224638E+07
     9 |      450 |  7.214849E+07 |  5.830472E+07
    10 |      500 |  7.064285E+07 |  5.830472E+07
    11 |      550 |  6.994456E+07 |  5.830472E+07
    12 |      600 |  6.919928E+07 |  5.830472E+07
    13 |      650 |  6.872549E+07 |  5.830472E+07
    14 |      700 |  6.813339E+07 |  5.753529E+07
    15 |      750 |  6.749582E+07 |  5.663543E+07
    16 |      800 |  6.722676E+07 |  5.494588E+07
    17 |      850 |  6.659918E+07 |  5.148855E+07
    18 |      900 |  6.585418E+07 |  5.148855E+07
    19 |      950 |  6.548157E+07 |  5.148855E+07
    20 |     1000 |  6.513291E+07 |  5.148855E+07
    21 |     1050 |  6.498959E+07 |  4.993062E+07
    22 |     1100 |  6.464083E+07 |  4.993062E+07
    23 |     1150 |  6.412700E+07 |  4.993062E+07
    24 |     1200 |  6.371961E+07 |  4.993062E+07
    25 |     1250 |  6.348561E+07 |  4.993062E+07
    26 |     1300 |  6.325765E+07 |  4.993062E+07
    27 |     1350 |  6.295432E+07 |  4.993062E+07
    28 |     1400 |  6.289991E+07 |  4.993062E+07
    29 |     1450 |  6.273148E+07 |  4.993062E+07
    30 |     1500 |  6.248792E+07 |  4.993062E+07
    31 |     1550 |  6.240110E+07 |  4.993062E+07
    32 |     1600 |  6.205806E+07 |  4.993062E+07
    33 |     1650 |  6.179338E+07 |  4.993062E+07
    34 |     1700 |  6.163899E+07 |  4.993062E+07
    35 |     1750 |  6.142325E+07 |  4.993062E+07
    36 |     1800 |  6.114699E+07 |  4.873879E+07
    37 |     1850 |  6.097298E+07 |  4.873879E+07
    38 |     1900 |  6.065674E+07 |  4.873879E+07
    39 |     1950 |  6.012423E+07 |  4.873879E+07
    40 |     2000 |  5.983800E+07 |  4.730724E+07
    41 |     2050 |  5.969336E+07 |  4.730724E+07
    42 |     2100 |  5.927582E+07 |  4.730724E+07
    43 |     2150 |  5.889612E+07 |  4.730724E+07
    44 |     2200 |  5.857932E+07 |  4.730724E+07
    45 |     2250 |  5.857932E+07 |  4.730724E+07
    46 |     2300 |  5.838428E+07 |  4.730724E+07
    47 |     2350 |  5.818636E+07 |  4.730724E+07
    48 |     2400 |  5.793968E+07 |  4.730724E+07
    49 |     2450 |  5.786583E+07 |  4.730724E+07
    50 |     2500 |  5.779120E+07 |  4.730724E+07
    51 |     2550 |  5.778545E+07 |  4.730724E+07
    52 |     2600 |  5.771757E+07 |  4.730724E+07
    53 |     2650 |  5.747202E+07 |  4.730724E+07
    54 |     2700 |  5.740459E+07 |  4.730724E+07
    55 |     2750 |  5.733052E+07 |  4.730724E+07
    56 |     2800 |  5.725010E+07 |  4.730724E+07
    57 |     2850 |  5.712866E+07 |  4.730724E+07
    58 |     2900 |  5.693268E+07 |  4.730724E+07
    59 |     2950 |  5.675526E+07 |  4.730724E+07
    60 |     3000 |  5.652989E+07 |  4.730724E+07
    61 |     3050 |  5.641194E+07 |  4.730724E+07
    62 |     3100 |  5.598671E+07 |  4.684005E+07
    63 |     3150 |  5.597781E+07 |  4.684005E+07
    64 |     3200 |  5.586412E+07 |  4.684005E+07
    65 |     3250 |  5.582351E+07 |  4.684005E+07
    66 |     3300 |  5.568602E+07 |  4.684005E+07
    67 |     3350 |  5.566637E+07 |  4.684005E+07
    68 |     3400 |  5.566637E+07 |  4.684005E+07
