=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.287599E+08 |  1.173267E+08
     2 |       70 |  1.275573E+08 |  1.162680E+08
     3 |       90 |  1.262751E+08 |  1.162680E+08
     4 |      110 |  1.250151E+08 |  1.099062E+08
     5 |      130 |  1.246460E+08 |  1.099062E+08
     6 |      150 |  1.236419E+08 |  1.099062E+08
     7 |      170 |  1.230252E+08 |  1.099062E+08
     8 |      190 |  1.225376E+08 |  1.099062E+08
     9 |      210 |  1.232966E+08 |  1.099062E+08
    10 |      230 |  1.222100E+08 |  1.099062E+08
    11 |      250 |  1.234952E+08 |  1.099062E+08
    12 |      270 |  1.226875E+08 |  1.099062E+08
    13 |      290 |  1.234142E+08 |  1.099062E+08
    14 |      310 |  1.213841E+08 |  1.099062E+08
    15 |      330 |  1.212283E+08 |  1.099062E+08
    16 |      350 |  1.213940E+08 |  1.090558E+08
    17 |      370 |  1.219515E+08 |  1.090558E+08
    18 |      390 |  1.204270E+08 |  1.090558E+08
    19 |      410 |  1.211350E+08 |  1.090558E+08
    20 |      430 |  1.201430E+08 |  1.090558E+08
    21 |      450 |  1.200140E+08 |  1.090558E+08
    22 |      470 |  1.204604E+08 |  1.090558E+08
    23 |      490 |  1.198868E+08 |  1.088305E+08
    24 |      510 |  1.201930E+08 |  1.088305E+08
    25 |      530 |  1.207742E+08 |  1.088305E+08
    26 |      550 |  1.205561E+08 |  1.088305E+08
    27 |      570 |  1.196834E+08 |  1.088305E+08
    28 |      590 |  1.200895E+08 |  1.088305E+08
    29 |      610 |  1.198480E+08 |  1.088305E+08
    30 |      630 |  1.192617E+08 |  1.088305E+08
    31 |      650 |  1.202167E+08 |  1.088305E+08
    32 |      670 |  1.196187E+08 |  1.088305E+08
    33 |      690 |  1.195871E+08 |  1.088305E+08
    34 |      710 |  1.190953E+08 |  1.088305E+08
    35 |      730 |  1.199027E+08 |  1.088305E+08
    36 |      750 |  1.194151E+08 |  1.088305E+08
    37 |      770 |  1.183767E+08 |  1.088305E+08
    38 |      790 |  1.192310E+08 |  1.088305E+08
    39 |      810 |  1.195824E+08 |  1.088305E+08
    40 |      830 |  1.202704E+08 |  1.088305E+08
    41 |      850 |  1.197265E+08 |  1.088305E+08
    42 |      870 |  1.201054E+08 |  1.088305E+08
    43 |      890 |  1.199621E+08 |  1.088305E+08
    44 |      910 |  1.192445E+08 |  1.088305E+08
    45 |      930 |  1.190640E+08 |  1.088305E+08
    46 |      950 |  1.189841E+08 |  1.088305E+08
    47 |      970 |  1.198827E+08 |  1.088305E+08
    48 |      990 |  1.185357E+08 |  1.088305E+08
    49 |     1010 |  1.197423E+08 |  1.088305E+08
    50 |     1030 |  1.185818E+08 |  1.088305E+08
    51 |     1050 |  1.182733E+08 |  1.088305E+08
    52 |     1070 |  1.189821E+08 |  1.088305E+08
    53 |     1090 |  1.187467E+08 |  1.088305E+08
