=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.342533E+08 |  9.775194E+07
     2 |      100 |  1.271084E+08 |  9.139894E+07
     3 |      150 |  1.196983E+08 |  9.139894E+07
     4 |      200 |  1.145546E+08 |  9.139894E+07
     5 |      250 |  1.104756E+08 |  9.139894E+07
     6 |      300 |  1.075140E+08 |  9.139894E+07
     7 |      350 |  1.043222E+08 |  9.139894E+07
     8 |      400 |  1.018712E+08 |  9.100350E+07
     9 |      450 |  1.006790E+08 |  8.846229E+07
    10 |      500 |  9.918582E+07 |  8.846229E+07
    11 |      550 |  9.822524E+07 |  8.846229E+07
    12 |      600 |  9.730450E+07 |  8.846229E+07
    13 |      650 |  9.628382E+07 |  8.846229E+07
    14 |      700 |  9.570090E+07 |  8.846229E+07
    15 |      750 |  9.521315E+07 |  8.846229E+07
    16 |      800 |  9.478874E+07 |  8.846229E+07
    17 |      850 |  9.453803E+07 |  8.846229E+07
    18 |      900 |  9.403630E+07 |  8.846229E+07
    19 |      950 |  9.388474E+07 |  8.846229E+07
    20 |     1000 |  9.367532E+07 |  8.846229E+07
    21 |     1050 |  9.354570E+07 |  8.846229E+07
    22 |     1100 |  9.324008E+07 |  8.846229E+07
    23 |     1150 |  9.309034E+07 |  8.846229E+07
    24 |     1200 |  9.306602E+07 |  8.846229E+07
    25 |     1250 |  9.301206E+07 |  8.846229E+07
    26 |     1300 |  9.279747E+07 |  8.846229E+07
    27 |     1350 |  9.276045E+07 |  8.846229E+07
    28 |     1400 |  9.257055E+07 |  8.846229E+07
    29 |     1450 |  9.242049E+07 |  8.846229E+07
    30 |     1500 |  9.232014E+07 |  8.846229E+07
    31 |     1550 |  9.226154E+07 |  8.846229E+07
    32 |     1600 |  9.211286E+07 |  8.846229E+07
    33 |     1650 |  9.200610E+07 |  8.846229E+07
    34 |     1700 |  9.198764E+07 |  8.846229E+07
    35 |     1750 |  9.196185E+07 |  8.737913E+07
    36 |     1800 |  9.183334E+07 |  8.737913E+07
    37 |     1850 |  9.178707E+07 |  8.737913E+07
    38 |     1900 |  9.173880E+07 |  8.737913E+07
    39 |     1950 |  9.173193E+07 |  8.737913E+07
    40 |     2000 |  9.158578E+07 |  8.737913E+07
    41 |     2050 |  9.138535E+07 |  8.737913E+07
    42 |     2100 |  9.136744E+07 |  8.737913E+07
    43 |     2150 |  9.125927E+07 |  8.737913E+07
    44 |     2200 |  9.121843E+07 |  8.737913E+07
    45 |     2250 |  9.111035E+07 |  8.737913E+07
    46 |     2300 |  9.111035E+07 |  8.737913E+07
    47 |     2350 |  9.101877E+07 |  8.737913E+07
    48 |     2400 |  9.101284E+07 |  8.737913E+07
    49 |     2450 |  9.092814E+07 |  8.737913E+07
    50 |     2500 |  9.085813E+07 |  8.737913E+07
