=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.135875E+08 |  9.038103E+07
     2 |       70 |  1.109828E+08 |  9.038103E+07
     3 |       90 |  1.091659E+08 |  9.038103E+07
     4 |      110 |  1.070654E+08 |  9.038103E+07
     5 |      130 |  1.062846E+08 |  9.038103E+07
     6 |      150 |  1.048069E+08 |  8.837132E+07
     7 |      170 |  1.031086E+08 |  8.837132E+07
     8 |      190 |  1.022055E+08 |  8.813447E+07
     9 |      210 |  1.019049E+08 |  8.813447E+07
    10 |      230 |  1.006173E+08 |  8.813447E+07
    11 |      250 |  1.008711E+08 |  8.813447E+07
    12 |      270 |  9.947230E+07 |  8.813447E+07
    13 |      290 |  1.004111E+08 |  8.813447E+07
    14 |      310 |  9.774446E+07 |  8.662545E+07
    15 |      330 |  9.794387E+07 |  8.662545E+07
    16 |      350 |  9.655346E+07 |  8.662545E+07
    17 |      370 |  9.744937E+07 |  8.662545E+07
    18 |      390 |  9.726601E+07 |  8.662545E+07
    19 |      410 |  9.833190E+07 |  8.662545E+07
    20 |      430 |  9.623491E+07 |  8.662545E+07
    21 |      450 |  9.633344E+07 |  8.662545E+07
    22 |      470 |  9.779675E+07 |  8.662545E+07
    23 |      490 |  9.705346E+07 |  8.662545E+07
    24 |      510 |  9.678839E+07 |  8.429060E+07
    25 |      530 |  9.703054E+07 |  8.429060E+07
    26 |      550 |  9.676044E+07 |  8.156081E+07
    27 |      570 |  9.539329E+07 |  8.156081E+07
    28 |      590 |  9.501334E+07 |  8.156081E+07
    29 |      610 |  9.483081E+07 |  8.156081E+07
    30 |      630 |  9.518205E+07 |  8.156081E+07
    31 |      650 |  9.503253E+07 |  8.156081E+07
    32 |      670 |  9.398950E+07 |  8.053094E+07
    33 |      690 |  9.359317E+07 |  8.053094E+07
    34 |      710 |  9.415757E+07 |  8.053094E+07
    35 |      730 |  9.330346E+07 |  8.053094E+07
    36 |      750 |  9.339562E+07 |  8.053094E+07
    37 |      770 |  9.266893E+07 |  8.053094E+07
    38 |      790 |  9.209139E+07 |  8.053094E+07
    39 |      810 |  9.356861E+07 |  8.053094E+07
    40 |      830 |  9.353013E+07 |  8.053094E+07
    41 |      850 |  9.214151E+07 |  8.012936E+07
    42 |      870 |  9.082578E+07 |  7.907357E+07
    43 |      890 |  9.087308E+07 |  7.907357E+07
    44 |      910 |  9.048864E+07 |  7.907357E+07
    45 |      930 |  9.018489E+07 |  7.907357E+07
    46 |      950 |  8.958936E+07 |  7.649241E+07
    47 |      970 |  8.894797E+07 |  7.649241E+07
    48 |      990 |  8.818788E+07 |  7.401879E+07
    49 |     1010 |  8.760505E+07 |  7.401879E+07
    50 |     1030 |  8.619392E+07 |  7.310873E+07
    51 |     1050 |  8.447399E+07 |  7.254868E+07
    52 |     1070 |  8.571290E+07 |  7.254868E+07
    53 |     1090 |  8.549107E+07 |  7.168415E+07
    54 |     1110 |  8.408924E+07 |  7.168415E+07
    55 |     1130 |  8.443026E+07 |  7.168415E+07
    56 |     1150 |  8.471357E+07 |  7.168415E+07
    57 |     1170 |  8.240313E+07 |  7.168415E+07
    58 |     1190 |  8.214379E+07 |  7.168415E+07
    59 |     1210 |  8.145699E+07 |  7.166381E+07
    60 |     1230 |  8.248611E+07 |  6.949177E+07
    61 |     1250 |  8.077508E+07 |  6.340189E+07
    62 |     1270 |  8.064250E+07 |  6.340189E+07
    63 |     1290 |  7.901902E+07 |  6.126956E+07
    64 |     1310 |  7.792643E+07 |  6.126956E+07
    65 |     1330 |  7.854760E+07 |  6.126956E+07
    66 |     1350 |  7.583631E+07 |  5.999206E+07
    67 |     1370 |  7.561364E+07 |  5.999206E+07
    68 |     1390 |  7.745063E+07 |  5.999206E+07
    69 |     1410 |  7.639658E+07 |  5.999206E+07
    70 |     1430 |  7.608828E+07 |  5.999206E+07
    71 |     1450 |  7.504641E+07 |  5.732828E+07
    72 |     1470 |  7.432084E+07 |  5.732828E+07
    73 |     1490 |  7.387708E+07 |  5.732828E+07
    74 |     1510 |  7.433268E+07 |  5.732828E+07
    75 |     1530 |  7.299139E+07 |  5.732828E+07
    76 |     1550 |  7.271022E+07 |  5.732828E+07
    77 |     1570 |  7.226379E+07 |  5.732828E+07
    78 |     1590 |  7.037335E+07 |  5.732828E+07
    79 |     1610 |  7.154174E+07 |  5.732828E+07
    80 |     1630 |  7.012336E+07 |  5.732828E+07
    81 |     1650 |  7.185082E+07 |  5.626637E+07
    82 |     1670 |  7.166653E+07 |  5.626637E+07
    83 |     1690 |  7.099645E+07 |  5.603074E+07
    84 |     1710 |  6.973478E+07 |  5.603074E+07
    85 |     1730 |  6.949212E+07 |  5.487374E+07
    86 |     1750 |  6.902844E+07 |  5.487374E+07
    87 |     1770 |  6.741734E+07 |  5.487374E+07
    88 |     1790 |  6.775611E+07 |  5.487374E+07
    89 |     1810 |  6.617673E+07 |  5.487086E+07
    90 |     1830 |  6.685108E+07 |  5.487086E+07
    91 |     1850 |  6.660283E+07 |  5.182993E+07
    92 |     1870 |  6.510570E+07 |  5.182993E+07
    93 |     1890 |  6.644500E+07 |  5.182993E+07
    94 |     1910 |  6.540582E+07 |  5.182993E+07
    95 |     1930 |  6.654626E+07 |  4.982007E+07
    96 |     1950 |  6.466251E+07 |  4.982007E+07
    97 |     1970 |  6.688056E+07 |  4.982007E+07
    98 |     1990 |  6.725090E+07 |  4.982007E+07
    99 |     2010 |  6.424150E+07 |  4.982007E+07
   100 |     2030 |  6.258587E+07 |  4.811074E+07
