=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  6.874569E+07 |  5.062763E+07
     2 |       70 |  6.495973E+07 |  5.062763E+07
     3 |       90 |  6.293581E+07 |  4.641560E+07
     4 |      110 |  6.147481E+07 |  4.472526E+07
     5 |      130 |  5.834136E+07 |  4.453614E+07
     6 |      150 |  5.656931E+07 |  4.381403E+07
     7 |      170 |  5.562188E+07 |  4.381403E+07
     8 |      190 |  5.430060E+07 |  4.381403E+07
     9 |      210 |  5.423091E+07 |  4.381403E+07
    10 |      230 |  5.370062E+07 |  4.381403E+07
    11 |      250 |  5.385711E+07 |  4.381403E+07
    12 |      270 |  5.287378E+07 |  4.276031E+07
    13 |      290 |  5.162654E+07 |  3.882655E+07
    14 |      310 |  5.064286E+07 |  3.882655E+07
    15 |      330 |  5.086264E+07 |  3.882655E+07
    16 |      350 |  5.034589E+07 |  3.882655E+07
    17 |      370 |  4.942299E+07 |  3.882655E+07
    18 |      390 |  5.107542E+07 |  3.882655E+07
    19 |      410 |  4.982442E+07 |  3.882655E+07
    20 |      430 |  4.993407E+07 |  3.882655E+07
    21 |      450 |  4.956587E+07 |  3.882655E+07
    22 |      470 |  4.918804E+07 |  3.882655E+07
    23 |      490 |  4.937500E+07 |  3.882655E+07
    24 |      510 |  4.891272E+07 |  3.882655E+07
    25 |      530 |  4.938482E+07 |  3.882655E+07
    26 |      550 |  4.969642E+07 |  3.882655E+07
    27 |      570 |  4.890776E+07 |  3.882655E+07
    28 |      590 |  4.962092E+07 |  3.882655E+07
    29 |      610 |  4.786195E+07 |  3.882655E+07
    30 |      630 |  4.842855E+07 |  3.882655E+07
    31 |      650 |  4.913592E+07 |  3.882655E+07
    32 |      670 |  4.948189E+07 |  3.882655E+07
    33 |      690 |  4.882382E+07 |  3.882655E+07
    34 |      710 |  4.961229E+07 |  3.882655E+07
    35 |      730 |  4.862296E+07 |  3.882655E+07
    36 |      750 |  4.739716E+07 |  3.882655E+07
    37 |      770 |  4.924054E+07 |  3.882655E+07
    38 |      790 |  4.960912E+07 |  3.882655E+07
    39 |      810 |  4.806320E+07 |  3.882655E+07
    40 |      830 |  4.802567E+07 |  3.882655E+07
    41 |      850 |  4.788856E+07 |  3.882655E+07
    42 |      870 |  4.870677E+07 |  3.882655E+07
    43 |      890 |  4.791353E+07 |  3.882655E+07
