=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  7.284639E+07 |  5.970723E+07
     2 |      100 |  7.036883E+07 |  5.970723E+07
     3 |      150 |  6.918614E+07 |  5.970723E+07
     4 |      200 |  6.781150E+07 |  5.970723E+07
     5 |      250 |  6.714658E+07 |  5.970723E+07
     6 |      300 |  6.563755E+07 |  5.970723E+07
     7 |      350 |  6.539173E+07 |  5.970723E+07
     8 |      400 |  6.516322E+07 |  5.970723E+07
     9 |      450 |  6.464724E+07 |  5.970723E+07
    10 |      500 |  6.452476E+07 |  5.970723E+07
    11 |      550 |  6.436385E+07 |  5.970723E+07
    12 |      600 |  6.416727E+07 |  5.970723E+07
    13 |      650 |  6.408495E+07 |  5.970723E+07
    14 |      700 |  6.394857E+07 |  5.970723E+07
    15 |      750 |  6.386909E+07 |  5.970723E+07
    16 |      800 |  6.379983E+07 |  5.970723E+07
    17 |      850 |  6.377198E+07 |  5.970723E+07
    18 |      900 |  6.375124E+07 |  5.970723E+07
    19 |      950 |  6.364407E+07 |  5.949661E+07
    20 |     1000 |  6.359878E+07 |  5.949661E+07
    21 |     1050 |  6.350139E+07 |  5.949661E+07
    22 |     1100 |  6.347672E+07 |  5.949661E+07
    23 |     1150 |  6.347672E+07 |  5.949661E+07
    24 |     1200 |  6.347214E+07 |  5.949661E+07
    25 |     1250 |  6.326481E+07 |  5.949661E+07
    26 |     1300 |  6.317718E+07 |  5.949661E+07
    27 |     1350 |  6.317718E+07 |  5.949661E+07
    28 |     1400 |  6.307392E+07 |  5.949661E+07
    29 |     1450 |  6.301987E+07 |  5.949661E+07
    30 |     1500 |  6.301643E+07 |  5.949661E+07
    31 |     1550 |  6.296390E+07 |  5.949661E+07
    32 |     1600 |  6.282938E+07 |  5.949661E+07
    33 |     1650 |  6.267784E+07 |  5.949661E+07
    34 |     1700 |  6.265211E+07 |  5.949661E+07
    35 |     1750 |  6.249836E+07 |  5.928682E+07
    36 |     1800 |  6.249482E+07 |  5.928682E+07
    37 |     1850 |  6.247150E+07 |  5.928682E+07
    38 |     1900 |  6.244302E+07 |  5.928682E+07
    39 |     1950 |  6.230120E+07 |  5.928682E+07
    40 |     2000 |  6.230120E+07 |  5.928682E+07
    41 |     2050 |  6.229333E+07 |  5.928682E+07
    42 |     2100 |  6.221880E+07 |  5.928682E+07
    43 |     2150 |  6.221880E+07 |  5.928682E+07
    44 |     2200 |  6.221880E+07 |  5.928682E+07
    45 |     2250 |  6.219479E+07 |  5.928682E+07
    46 |     2300 |  6.216042E+07 |  5.928682E+07
    47 |     2350 |  6.205746E+07 |  5.928682E+07
    48 |     2400 |  6.205746E+07 |  5.928682E+07
    49 |     2450 |  6.199928E+07 |  5.904593E+07
    50 |     2500 |  6.198432E+07 |  5.904593E+07
    51 |     2550 |  6.192909E+07 |  5.904593E+07
    52 |     2600 |  6.187752E+07 |  5.904593E+07
    53 |     2650 |  6.179341E+07 |  5.881951E+07
    54 |     2700 |  6.178261E+07 |  5.881951E+07
    55 |     2750 |  6.174282E+07 |  5.881951E+07
    56 |     2800 |  6.173398E+07 |  5.881951E+07
    57 |     2850 |  6.173398E+07 |  5.881951E+07
    58 |     2900 |  6.167550E+07 |  5.772534E+07
    59 |     2950 |  6.167550E+07 |  5.772534E+07
    60 |     3000 |  6.167550E+07 |  5.772534E+07
    61 |     3050 |  6.164128E+07 |  5.772534E+07
    62 |     3100 |  6.161669E+07 |  5.772534E+07
    63 |     3150 |  6.145997E+07 |  5.413695E+07
    64 |     3200 |  6.137339E+07 |  5.413695E+07
    65 |     3250 |  6.137009E+07 |  5.413695E+07
    66 |     3300 |  6.137009E+07 |  5.413695E+07
    67 |     3350 |  6.137009E+07 |  5.413695E+07
    68 |     3400 |  6.136534E+07 |  5.413695E+07
    69 |     3450 |  6.136534E+07 |  5.413695E+07
    70 |     3500 |  6.131413E+07 |  5.413695E+07
    71 |     3550 |  6.124259E+07 |  5.413695E+07
    72 |     3600 |  6.113963E+07 |  5.413695E+07
    73 |     3650 |  6.113963E+07 |  5.413695E+07
    74 |     3700 |  6.106530E+07 |  5.413695E+07
    75 |     3750 |  6.098979E+07 |  5.413695E+07
    76 |     3800 |  6.098979E+07 |  5.413695E+07
    77 |     3850 |  6.091721E+07 |  5.413695E+07
    78 |     3900 |  6.090530E+07 |  5.413695E+07
    79 |     3950 |  6.090530E+07 |  5.413695E+07
    80 |     4000 |  6.082217E+07 |  5.413695E+07
    81 |     4050 |  6.072694E+07 |  5.413695E+07
    82 |     4100 |  6.066286E+07 |  5.413695E+07
    83 |     4150 |  6.066286E+07 |  5.413695E+07
    84 |     4200 |  6.066286E+07 |  5.413695E+07
    85 |     4250 |  6.063883E+07 |  5.413695E+07
    86 |     4300 |  6.063883E+07 |  5.413695E+07
    87 |     4350 |  6.062279E+07 |  5.413695E+07
    88 |     4400 |  6.062191E+07 |  5.413695E+07
    89 |     4450 |  6.060018E+07 |  5.413695E+07
    90 |     4500 |  6.060018E+07 |  5.413695E+07
    91 |     4550 |  6.060018E+07 |  5.413695E+07
    92 |     4600 |  6.060018E+07 |  5.413695E+07
    93 |     4650 |  6.059679E+07 |  5.413695E+07
