=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  3.682588E+07 |  2.978577E+07
     2 |      100 |  3.579577E+07 |  2.978577E+07
     3 |      150 |  3.467936E+07 |  2.978577E+07
     4 |      200 |  3.433615E+07 |  2.851981E+07
     5 |      250 |  3.413411E+07 |  2.851981E+07
     6 |      300 |  3.398331E+07 |  2.851981E+07
     7 |      350 |  3.360692E+07 |  2.823768E+07
     8 |      400 |  3.342949E+07 |  2.823768E+07
     9 |      450 |  3.333669E+07 |  2.823768E+07
    10 |      500 |  3.318269E+07 |  2.823768E+07
    11 |      550 |  3.310870E+07 |  2.823768E+07
    12 |      600 |  3.302278E+07 |  2.823768E+07
    13 |      650 |  3.301776E+07 |  2.823768E+07
    14 |      700 |  3.297386E+07 |  2.823768E+07
    15 |      750 |  3.282401E+07 |  2.823768E+07
    16 |      800 |  3.279389E+07 |  2.823768E+07
    17 |      850 |  3.271857E+07 |  2.823768E+07
    18 |      900 |  3.254778E+07 |  2.823768E+07
    19 |      950 |  3.251052E+07 |  2.823768E+07
    20 |     1000 |  3.243057E+07 |  2.823768E+07
    21 |     1050 |  3.233445E+07 |  2.823768E+07
    22 |     1100 |  3.225335E+07 |  2.823768E+07
    23 |     1150 |  3.224322E+07 |  2.823768E+07
    24 |     1200 |  3.224173E+07 |  2.823768E+07
    25 |     1250 |  3.209105E+07 |  2.823768E+07
    26 |     1300 |  3.208806E+07 |  2.823768E+07
    27 |     1350 |  3.199239E+07 |  2.823768E+07
    28 |     1400 |  3.194717E+07 |  2.823768E+07
    29 |     1450 |  3.187055E+07 |  2.820486E+07
    30 |     1500 |  3.184490E+07 |  2.820486E+07
    31 |     1550 |  3.177648E+07 |  2.820486E+07
    32 |     1600 |  3.177621E+07 |  2.820486E+07
    33 |     1650 |  3.176851E+07 |  2.820486E+07
    34 |     1700 |  3.166403E+07 |  2.820486E+07
    35 |     1750 |  3.163133E+07 |  2.820486E+07
    36 |     1800 |  3.155911E+07 |  2.820486E+07
    37 |     1850 |  3.155494E+07 |  2.820486E+07
    38 |     1900 |  3.150866E+07 |  2.820486E+07
    39 |     1950 |  3.150662E+07 |  2.820486E+07
    40 |     2000 |  3.143501E+07 |  2.820486E+07
    41 |     2050 |  3.143484E+07 |  2.820486E+07
    42 |     2100 |  3.143429E+07 |  2.820486E+07
    43 |     2150 |  3.140740E+07 |  2.820486E+07
    44 |     2200 |  3.140740E+07 |  2.820486E+07
    45 |     2250 |  3.140483E+07 |  2.820486E+07
    46 |     2300 |  3.137436E+07 |  2.820486E+07
    47 |     2350 |  3.129995E+07 |  2.817035E+07
    48 |     2400 |  3.129906E+07 |  2.817035E+07
    49 |     2450 |  3.129818E+07 |  2.817035E+07
    50 |     2500 |  3.129582E+07 |  2.817035E+07
    51 |     2550 |  3.128937E+07 |  2.817035E+07
    52 |     2600 |  3.128937E+07 |  2.817035E+07
    53 |     2650 |  3.128744E+07 |  2.817035E+07
    54 |     2700 |  3.128744E+07 |  2.817035E+07
    55 |     2750 |  3.128567E+07 |  2.817035E+07
    56 |     2800 |  3.128284E+07 |  2.817035E+07
    57 |     2850 |  3.128164E+07 |  2.817035E+07
    58 |     2900 |  3.127832E+07 |  2.817035E+07
    59 |     2950 |  3.127817E+07 |  2.817035E+07
    60 |     3000 |  3.127817E+07 |  2.817035E+07
    61 |     3050 |  3.127817E+07 |  2.817035E+07
    62 |     3100 |  3.127817E+07 |  2.817035E+07
    63 |     3150 |  3.109854E+07 |  2.817035E+07
    64 |     3200 |  3.109729E+07 |  2.817035E+07
    65 |     3250 |  3.109729E+07 |  2.817035E+07
    66 |     3300 |  3.109729E+07 |  2.817035E+07
    67 |     3350 |  3.109582E+07 |  2.817035E+07
    68 |     3400 |  3.109447E+07 |  2.817035E+07
    69 |     3450 |  3.109447E+07 |  2.817035E+07
    70 |     3500 |  3.109447E+07 |  2.817035E+07
    71 |     3550 |  3.107021E+07 |  2.817035E+07
    72 |     3600 |  3.107021E+07 |  2.817035E+07
    73 |     3650 |  3.107021E+07 |  2.817035E+07
    74 |     3700 |  3.107021E+07 |  2.817035E+07
    75 |     3750 |  3.107021E+07 |  2.817035E+07
    76 |     3800 |  3.106789E+07 |  2.817035E+07
    77 |     3850 |  3.106509E+07 |  2.817035E+07
