=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.217401E+08 |  1.091684E+08
     2 |       70 |  1.198004E+08 |  1.091684E+08
     3 |       90 |  1.163206E+08 |  1.051306E+08
     4 |      110 |  1.155206E+08 |  1.036827E+08
     5 |      130 |  1.159910E+08 |  1.036827E+08
     6 |      150 |  1.151400E+08 |  1.036827E+08
     7 |      170 |  1.143510E+08 |  1.036827E+08
     8 |      190 |  1.145259E+08 |  1.036827E+08
     9 |      210 |  1.144724E+08 |  1.033149E+08
    10 |      230 |  1.126867E+08 |  1.033149E+08
    11 |      250 |  1.132826E+08 |  1.033149E+08
    12 |      270 |  1.114118E+08 |  9.668266E+07
    13 |      290 |  1.120985E+08 |  9.668266E+07
    14 |      310 |  1.105883E+08 |  9.668266E+07
    15 |      330 |  1.109505E+08 |  9.668266E+07
    16 |      350 |  1.115981E+08 |  9.668266E+07
    17 |      370 |  1.117426E+08 |  9.668266E+07
    18 |      390 |  1.112036E+08 |  9.668266E+07
    19 |      410 |  1.114144E+08 |  9.668266E+07
    20 |      430 |  1.109313E+08 |  9.668266E+07
    21 |      450 |  1.097146E+08 |  9.668266E+07
    22 |      470 |  1.096316E+08 |  9.668266E+07
    23 |      490 |  1.106217E+08 |  9.668266E+07
    24 |      510 |  1.095503E+08 |  9.668266E+07
    25 |      530 |  1.103209E+08 |  9.668266E+07
    26 |      550 |  1.108131E+08 |  9.668266E+07
    27 |      570 |  1.097818E+08 |  9.668266E+07
    28 |      590 |  1.098776E+08 |  9.668266E+07
    29 |      610 |  1.099867E+08 |  9.668266E+07
    30 |      630 |  1.102568E+08 |  9.668266E+07
    31 |      650 |  1.105605E+08 |  9.668266E+07
    32 |      670 |  1.101406E+08 |  9.668266E+07
    33 |      690 |  1.099872E+08 |  9.668266E+07
    34 |      710 |  1.100430E+08 |  9.668266E+07
    35 |      730 |  1.107274E+08 |  9.668266E+07
    36 |      750 |  1.105982E+08 |  9.668266E+07
    37 |      770 |  1.096044E+08 |  9.668266E+07
    38 |      790 |  1.096660E+08 |  9.668266E+07
    39 |      810 |  1.099542E+08 |  9.668266E+07
    40 |      830 |  1.097731E+08 |  9.668266E+07
    41 |      850 |  1.096441E+08 |  9.668266E+07
    42 |      870 |  1.094414E+08 |  9.668266E+07
