=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  8.989623E+07 |  8.128501E+07
     2 |       70 |  8.739959E+07 |  7.966495E+07
     3 |       90 |  8.691797E+07 |  7.966495E+07
     4 |      110 |  8.621614E+07 |  7.680095E+07
     5 |      130 |  8.450538E+07 |  7.680095E+07
     6 |      150 |  8.406180E+07 |  7.511183E+07
     7 |      170 |  8.445893E+07 |  7.511183E+07
     8 |      190 |  8.423629E+07 |  7.511183E+07
     9 |      210 |  8.354913E+07 |  7.511183E+07
    10 |      230 |  8.299667E+07 |  7.511183E+07
    11 |      250 |  8.355050E+07 |  7.373349E+07
    12 |      270 |  8.217519E+07 |  7.373349E+07
    13 |      290 |  8.265100E+07 |  7.373349E+07
    14 |      310 |  8.137309E+07 |  7.108791E+07
    15 |      330 |  8.217557E+07 |  7.108791E+07
    16 |      350 |  8.188451E+07 |  7.108791E+07
    17 |      370 |  8.130719E+07 |  7.108791E+07
    18 |      390 |  8.218700E+07 |  7.108791E+07
    19 |      410 |  8.164446E+07 |  7.108791E+07
    20 |      430 |  8.064579E+07 |  7.108791E+07
    21 |      450 |  8.096404E+07 |  7.108791E+07
    22 |      470 |  8.113949E+07 |  7.108791E+07
    23 |      490 |  8.094775E+07 |  7.108791E+07
    24 |      510 |  8.218680E+07 |  7.108791E+07
    25 |      530 |  8.128301E+07 |  7.108791E+07
    26 |      550 |  8.157905E+07 |  7.108791E+07
    27 |      570 |  8.114290E+07 |  7.108791E+07
    28 |      590 |  8.078049E+07 |  7.108791E+07
    29 |      610 |  8.057681E+07 |  7.108791E+07
    30 |      630 |  8.133476E+07 |  7.108791E+07
    31 |      650 |  8.129525E+07 |  7.108791E+07
    32 |      670 |  8.123733E+07 |  7.108791E+07
    33 |      690 |  8.096799E+07 |  7.108791E+07
    34 |      710 |  8.100663E+07 |  7.108791E+07
    35 |      730 |  8.040367E+07 |  7.108791E+07
    36 |      750 |  8.055234E+07 |  7.108791E+07
    37 |      770 |  8.047140E+07 |  7.108791E+07
    38 |      790 |  8.007876E+07 |  7.108791E+07
    39 |      810 |  7.992942E+07 |  7.108791E+07
    40 |      830 |  8.011428E+07 |  7.108791E+07
    41 |      850 |  8.025963E+07 |  7.108791E+07
    42 |      870 |  7.964912E+07 |  7.108791E+07
    43 |      890 |  7.984769E+07 |  7.108791E+07
    44 |      910 |  8.061477E+07 |  7.108791E+07
