=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.180894E+08 |  1.054213E+08
     2 |       70 |  1.158005E+08 |  1.054213E+08
     3 |       90 |  1.142427E+08 |  1.009922E+08
     4 |      110 |  1.132760E+08 |  1.009922E+08
     5 |      130 |  1.118101E+08 |  1.009922E+08
     6 |      150 |  1.122369E+08 |  9.947848E+07
     7 |      170 |  1.104602E+08 |  9.947848E+07
     8 |      190 |  1.104716E+08 |  9.947848E+07
     9 |      210 |  1.109068E+08 |  9.947848E+07
    10 |      230 |  1.104241E+08 |  9.947848E+07
    11 |      250 |  1.099848E+08 |  9.947848E+07
    12 |      270 |  1.097771E+08 |  9.947848E+07
    13 |      290 |  1.099279E+08 |  9.947848E+07
    14 |      310 |  1.094084E+08 |  9.947848E+07
    15 |      330 |  1.096435E+08 |  9.947848E+07
    16 |      350 |  1.096529E+08 |  9.947848E+07
    17 |      370 |  1.093641E+08 |  9.947848E+07
    18 |      390 |  1.098529E+08 |  9.947848E+07
    19 |      410 |  1.091031E+08 |  9.947848E+07
    20 |      430 |  1.104273E+08 |  9.947848E+07
    21 |      450 |  1.100396E+08 |  9.947848E+07
    22 |      470 |  1.095776E+08 |  9.947848E+07
    23 |      490 |  1.092482E+08 |  9.947848E+07
    24 |      510 |  1.103551E+08 |  9.947848E+07
    25 |      530 |  1.083404E+08 |  9.947848E+07
    26 |      550 |  1.089192E+08 |  9.947848E+07
    27 |      570 |  1.089207E+08 |  9.947848E+07
    28 |      590 |  1.085111E+08 |  9.947848E+07
    29 |      610 |  1.083930E+08 |  9.947848E+07
    30 |      630 |  1.091146E+08 |  9.947848E+07
    31 |      650 |  1.092248E+08 |  9.947848E+07
    32 |      670 |  1.083303E+08 |  9.947848E+07
    33 |      690 |  1.090458E+08 |  9.947848E+07
    34 |      710 |  1.087868E+08 |  9.947848E+07
    35 |      730 |  1.085242E+08 |  9.947848E+07
    36 |      750 |  1.081095E+08 |  9.947848E+07
