=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.430237E+08 |  1.274031E+08
     2 |       70 |  1.399822E+08 |  1.274031E+08
     3 |       90 |  1.361699E+08 |  1.234768E+08
     4 |      110 |  1.349599E+08 |  1.234768E+08
     5 |      130 |  1.349749E+08 |  1.218210E+08
     6 |      150 |  1.339742E+08 |  1.218210E+08
     7 |      170 |  1.332725E+08 |  1.218210E+08
     8 |      190 |  1.321811E+08 |  1.218210E+08
     9 |      210 |  1.326562E+08 |  1.218210E+08
    10 |      230 |  1.318907E+08 |  1.218210E+08
    11 |      250 |  1.326885E+08 |  1.218210E+08
    12 |      270 |  1.314836E+08 |  1.218210E+08
    13 |      290 |  1.320643E+08 |  1.218210E+08
    14 |      310 |  1.301180E+08 |  1.218210E+08
    15 |      330 |  1.305973E+08 |  1.218210E+08
    16 |      350 |  1.312404E+08 |  1.218210E+08
    17 |      370 |  1.313601E+08 |  1.218210E+08
    18 |      390 |  1.305594E+08 |  1.218210E+08
    19 |      410 |  1.314014E+08 |  1.218210E+08
    20 |      430 |  1.309393E+08 |  1.218210E+08
    21 |      450 |  1.291171E+08 |  1.178012E+08
    22 |      470 |  1.305501E+08 |  1.178012E+08
    23 |      490 |  1.312900E+08 |  1.178012E+08
    24 |      510 |  1.315861E+08 |  1.178012E+08
    25 |      530 |  1.301032E+08 |  1.178012E+08
    26 |      550 |  1.299733E+08 |  1.178012E+08
    27 |      570 |  1.296609E+08 |  1.178012E+08
    28 |      590 |  1.302543E+08 |  1.178012E+08
    29 |      610 |  1.292225E+08 |  1.178012E+08
    30 |      630 |  1.292890E+08 |  1.178012E+08
    31 |      650 |  1.294900E+08 |  1.178012E+08
    32 |      670 |  1.298580E+08 |  1.178012E+08
    33 |      690 |  1.310433E+08 |  1.178012E+08
    34 |      710 |  1.310050E+08 |  1.178012E+08
    35 |      730 |  1.299571E+08 |  1.178012E+08
    36 |      750 |  1.305172E+08 |  1.178012E+08
    37 |      770 |  1.292852E+08 |  1.178012E+08
    38 |      790 |  1.293346E+08 |  1.174328E+08
    39 |      810 |  1.293627E+08 |  1.174328E+08
    40 |      830 |  1.296321E+08 |  1.174328E+08
    41 |      850 |  1.304672E+08 |  1.174328E+08
    42 |      870 |  1.299009E+08 |  1.174328E+08
    43 |      890 |  1.313469E+08 |  1.174328E+08
    44 |      910 |  1.307894E+08 |  1.174328E+08
    45 |      930 |  1.295684E+08 |  1.174328E+08
    46 |      950 |  1.289896E+08 |  1.174328E+08
    47 |      970 |  1.294768E+08 |  1.174328E+08
    48 |      990 |  1.293365E+08 |  1.174328E+08
    49 |     1010 |  1.294336E+08 |  1.174328E+08
    50 |     1030 |  1.285528E+08 |  1.174328E+08
    51 |     1050 |  1.286794E+08 |  1.174328E+08
    52 |     1070 |  1.282258E+08 |  1.174328E+08
    53 |     1090 |  1.299782E+08 |  1.174328E+08
    54 |     1110 |  1.283740E+08 |  1.174328E+08
    55 |     1130 |  1.290472E+08 |  1.174328E+08
    56 |     1150 |  1.288738E+08 |  1.174328E+08
    57 |     1170 |  1.292105E+08 |  1.174328E+08
    58 |     1190 |  1.284026E+08 |  1.174328E+08
    59 |     1210 |  1.289522E+08 |  1.174328E+08
    60 |     1230 |  1.298449E+08 |  1.174328E+08
    61 |     1250 |  1.299367E+08 |  1.174328E+08
    62 |     1270 |  1.290484E+08 |  1.174328E+08
    63 |     1290 |  1.292730E+08 |  1.174328E+08
    64 |     1310 |  1.290233E+08 |  1.174328E+08
    65 |     1330 |  1.285277E+08 |  1.174328E+08
    66 |     1350 |  1.288096E+08 |  1.174328E+08
    67 |     1370 |  1.298223E+08 |  1.174328E+08
    68 |     1390 |  1.300232E+08 |  1.174328E+08
